latitude,longitude,market
47.918388,13.79933,Gmunden
47.070713,15.439504,Graz
47.269211,11.404102,Innsbruck
48.309868,16.323772,Klosterneuburg
48.306938,14.28583,Linz
49.085114,12.752807,Rattenberg
48.203529,15.63817,StPölten
48.208176,16.373819,Vienna
48.165421,14.03664,Wels
47.85931,14.673202,Weyer
50.933334,4.0333328,Aalst
51.219215,4.4028821,Antwerp
50.968681,2.43066,Bergues
51.210838,3.224869,Bruges
50.850342,4.3517098,Brussels
50.928127,5.9428878,Diest
51.031708,2.863987,Dixmude
51.185116,3.5638831,Eeklo
51.071507,2.6675889,Furnes
51.053467,3.7303801,Ghent
50.879074,4.701097,Leuven
50.632557,5.5796661,Liège
51.130215,4.5715089,Lier
50.454243,3.9566591,Mons
50.465328,4.8676648,Namur
50.799999,4.9333329,Tirlemont
57.152599,-2.1099999,Aberdeen
52.017429,-1.31505,Adderbury
55.458,-4.6290002,Ayr
54.597286,-5.93012,Belfast
52.205338,0.121817,Cambridge
51.85762,-4.3121309,Carmarthen
53.193394,-2.893075,Chester
53.235046,-1.421629,Chesterfield
52.922531,-1.474619,Derby
51.126369,1.316198,Dover
54.775249,-1.584852,Durham
51.017574,-2.016819,Ebbesbourne
55.953056,-3.188889,Edinburgh
52.39954,0.26236299,Ely
50.71841,-3.5338991,Exeter
50.854847,-1.186587,Fareham
51.864246,-2.2381561,Gloucester
55.95562,-2.778815,Haddington
53.801277,-1.5485671,Leeds
53.23436,-0.53770798,Lincoln
55.97905,-3.6105399,Linlithgow
53.408371,-2.9915731,Liverpool
51.513683,-0.099907003,London
51.270363,0.522699,Maidstone
53.479252,-2.247926,Manchester
54.978252,-1.61778,Newcastle
52.630886,1.2973551,Norwich
52.954784,-1.1581089,Nottingham
51.751724,-1.255285,Oxford
56.396999,-3.437,Perth
50.816666,-1.083333,Portsmouth
52.703121,-2.745806,Shrewsbury
56.117222,-3.9397221,Stirling
51.499001,-0.86699998,Wargrave
51.644291,-0.80586702,WestWycombe
51.500568,-0.126836,Westminster
51.062759,-1.3153549,Winchester
51.481728,-0.61357599,WindsorEton
52.193638,-2.221575,Worcester
53.962299,-1.081884,York
45.316666,14.416667,RijekaFiume
50.783333,14.216667,DěčínTetschen
50.353981,13.803355,Louny
50.087563,14.421186,Prague
49.752949,13.004103,Stříbro
49.424587,13.245172,Svrcovci
55.676098,12.568337,Copenhagen
50.105564,1.833043,Abbeville
46.277538,4.434329,Aigueperse
43.529743,5.4474268,AixenProvence
45.675533,6.3927259,Albertville
43.926895,2.146343,Albi
47.47842,-0.56316602,Angers
45.648376,0.15623701,Angoulême
45.899246,6.129384,Annecy
45.240799,4.6714001,Annonay
43.676674,4.627502,Arles
50.291,2.777535,Arras
44.620602,4.3910999,Aubenas
47.798203,3.573781,Auzerre
43.949318,4.8055282,Avignon
45.247719,1.327569,Ayen
48.773605,5.1582379,BarleDuc
49.276436,-0.70314002,Bayeux
43.49295,-1.47484,Bayonne
47.778072,1.633523,Beaugency
49.141552,2.284601,Beaumont
49.089329,0.59781098,Bernay
43.344234,3.215795,Béziers
45.723927,3.338973,Billom
47.587952,1.336272,Blois
44.837788,-0.57918,Bordeaux
50.725231,1.6133339,BoulognesurMer
47.081013,2.398782,Bourges
44.899418,6.6431789,Briançon
45.294559,3.384562,Brioude
45.158298,1.5321,BrivelaGaillarde
44.276188,5.2741299,BuislesBaronnies
49.182861,-0.37067899,Caen
50.173538,3.2366331,Cambrai
49.787434,0.638336,Cany
43.212162,2.353663,Carcassonne
43.31712,1.95333,Castelnaudary
43.606213,2.2412951,Castres
48.95668,4.3630729,ChalonssurMarne
49.7719,4.7161002,Charleville
48.444817,1.489077,Chartres
48.07037,1.327696,Chateaudun
47.826767,-0.7069,ChateauGontier
46.811436,1.686779,Chateauroux
49.652905,0.39174199,ChaumontenCaux
49.262161,1.882324,ChaumontenVexin
49.639091,-1.625298,Cherbourg
45.7831,3.0824001,Clermont
48.079357,7.3585119,Colmar
44.063187,1.951534,Cordes
49.04781,-1.445261,Coutances
44.751038,5.3705359,Die
49.922993,1.0774831,Dieppe
44.092194,6.2359762,Digne
47.095341,5.4908099,Dole
50.367874,3.0806019,Douai
43.537727,6.464993,Draguignan
50.04887,1.419597,Eu
49.027012,1.151361,Evreaux
42.964127,1.605232,Foix
46.465973,-0.80650002,Fontenay
48.984333,2.4605889,Gonesse
43.769894,1.2954119,Grenade
45.18853,5.724524,Grenoble
46.169598,1.871452,Guéret
45.541512,3.2481279,Issoire
47.866829,5.3342972,Langres
48.077862,-0.77013803,Laval
43.699184,1.820699,Lavaur
49.490002,0.1,LeHavre
48.006111,0.19955599,LeMans
45.042767,3.882936,LePuyenVelay
50.62925,3.057256,Lille
45.833618,1.2611049,Limoges
49.214806,1.1686569,Louviers
