year,source,entrées,reg_mem,reg_no_mem,avg_loss_label,avg_loss,avg_loss_no_mem,avg_loss_no_mem_label
1726,Carriere,1401,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1726,Navigo entrées,,1762.1074305099087,,Perte memoire-22.9%,-0.22944005463184647,,
1726,Navigo mileage_total,,1224456.3232539014,,Perte memoire-66.4%,-0.6638794690407163,,
1726,Navigo tonnage,,149386.85570326258,,Perte memoire-44.0%,-0.4396999367941488,,
1727,Carriere,1478,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1727,Navigo entrées,,1778.1638544230732,,Perte memoire-22.9%,-0.22944005463184647,,
1727,Navigo mileage_total,,1233953.218156968,,Perte memoire-66.4%,-0.6638794690407163,,
1727,Navigo tonnage,,150666.92018631773,,Perte memoire-44.0%,-0.4396999367941488,,
1728,Carriere,1644,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1728,Navigo entrées,,1794.3665853913103,,Perte memoire-22.9%,-0.22944005463184647,,
1728,Navigo mileage_total,,1243523.7710673353,,Perte memoire-66.4%,-0.6638794690407163,,
1728,Navigo tonnage,,151957.95327215298,,Perte memoire-44.0%,-0.4396999367941488,,
1729,Carriere,1432,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1729,Navigo entrées,,1810.716956572892,,Perte memoire-22.9%,-0.22944005463184647,,
1729,Navigo mileage_total,,1253168.5532772131,,Perte memoire-66.4%,-0.6638794690407163,,
1729,Navigo tonnage,,153260.04894841395,,Perte memoire-44.0%,-0.4396999367941488,,
1730,Carriere,1444,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1730,Navigo entrées,,1827.2163132739058,,Perte memoire-22.9%,-0.22944005463184647,,
1730,Navigo mileage_total,,1262888.1405097512,,Perte memoire-66.4%,-0.6638794690407163,,
1730,Navigo tonnage,,154573.30200810678,,Perte memoire-44.0%,-0.4396999367941488,,
1731,Carriere,1508,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1731,Navigo entrées,,1843.8660130589444,,Perte memoire-22.9%,-0.22944005463184647,,
1731,Navigo mileage_total,,1272683.112953422,,Perte memoire-66.4%,-0.6638794690407163,,
1731,Navigo tonnage,,155897.80805649812,,Perte memoire-44.0%,-0.4396999367941488,,
1732,Carriere,1811,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1732,Navigo entrées,,1860.6674258628072,,Perte memoire-22.9%,-0.22944005463184647,,
1732,Navigo mileage_total,,1282554.0552966387,,Perte memoire-66.4%,-0.6638794690407163,,
1732,Navigo tonnage,,157233.66351807682,,Perte memoire-44.0%,-0.4396999367941488,,
1733,Carriere,1565,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1733,Navigo entrées,,1877.6219341032183,,Perte memoire-22.9%,-0.22944005463184647,,
1733,Navigo mileage_total,,1292501.5567626634,,Perte memoire-66.4%,-0.6638794690407163,,
1733,Navigo tonnage,,158580.9656435726,,Perte memoire-44.0%,-0.4396999367941488,,
1734,Carriere,1811,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1734,Navigo entrées,,1894.7309327945713,,Perte memoire-22.9%,-0.22944005463184647,,
1734,Navigo mileage_total,,1302526.2111447863,,Perte memoire-66.4%,-0.6638794690407163,,
1734,Navigo tonnage,,159939.81251703642,,Perte memoire-44.0%,-0.4396999367941488,,
1735,Carriere,1617,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1735,Navigo entrées,,1911.9958296627105,,Perte memoire-22.9%,-0.22944005463184647,,
1735,Navigo mileage_total,,1312628.6168417544,,Perte memoire-66.4%,-0.6638794690407163,,
1735,Navigo tonnage,,161310.30306297998,,Perte memoire-44.0%,-0.4396999367941488,,
1736,Carriere,1833,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1736,Navigo entrées,,1929.4180452607593,,Perte memoire-22.9%,-0.22944005463184647,,
1736,Navigo mileage_total,,1322809.376893511,,Perte memoire-66.4%,-0.6638794690407163,,
1736,Navigo tonnage,,162692.53705357917,,Perte memoire-44.0%,-0.4396999367941488,,
1737,Carriere,1620,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1737,Navigo entrées,,1946.9990130859987,,Perte memoire-22.9%,-0.22944005463184647,,
1737,Navigo mileage_total,,1333069.099017173,,Perte memoire-66.4%,-0.6638794690407163,,
1737,Navigo tonnage,,164086.61511593623,,Perte memoire-44.0%,-0.4396999367941488,,
1738,Carriere,1572,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1738,Navigo entrées,,1964.7401796978297,,Perte memoire-22.9%,-0.22944005463184647,,
1738,Navigo mileage_total,,1343408.395643327,,Perte memoire-66.4%,-0.6638794690407163,,
1738,Navigo tonnage,,165492.63873940628,,Perte memoire-44.0%,-0.4396999367941488,,
1739,Carriere,1571,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1739,Navigo entrées,,1982.6430048367754,,Perte memoire-22.9%,-0.22944005463184647,,
1739,Navigo mileage_total,,1353827.8839525697,,Perte memoire-66.4%,-0.6638794690407163,,
1739,Navigo tonnage,,166910.71028298428,,Perte memoire-44.0%,-0.4396999367941488,,
1740,Carriere,1393,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
1740,Navigo entrées,,2000.708961544601,,Perte memoire-22.9%,-0.22944005463184647,,
1740,Navigo mileage_total,,1364328.185912356,,Perte memoire-66.4%,-0.6638794690407163,,
1740,Navigo tonnage,,168340.93298275888,,Perte memoire-44.0%,-0.4396999367941488,,
1741,Carriere,1677,,,Perte memoire-6.1%,-0.06070218203736723,0.045168318459894885,Perte 4.5%
