year,direction_ferme,value,kind,peace_reg_memory,peace_reg
1756,Marseille,99900998.25487915,total_no_colonial_product,138859674.56742242,116852289.11182962
1757,Marseille,,total_no_colonial_product,141827162.22616228,114631636.11099684
1758,Marseille,,total_no_colonial_product,144858066.30174312,112453184.2496333
1759,Marseille,66455656.26762006,total_no_colonial_product,147953742.02875647,110316131.54013811
1760,Marseille,,total_no_colonial_product,151115573.60370654,108219691.23582856
1761,Marseille,73677209.60001858,total_no_colonial_product,154344974.80394235,106163091.54130344
1762,Marseille,83512926.84020147,total_no_colonial_product,157643389.61980617,104145575.32830685
1763,Marseille,142388924.57498908,total_no_colonial_product,161012292.90030143,102166399.8569994
1764,Marseille,142139358.7521294,total_no_colonial_product,,
1765,Marseille,131240655.19075802,total_no_colonial_product,,
1766,Marseille,124848376.0315132,total_no_colonial_product,,
1767,Marseille,128966281.18182853,total_no_colonial_product,,
1768,Marseille,140109314.25881693,total_no_colonial_product,,
1769,Marseille,124658608.35367642,total_no_colonial_product,,
1770,Marseille,124001305.58759302,total_no_colonial_product,,
1771,Marseille,,total_no_colonial_product,,
1772,Marseille,143339379.73074254,total_no_colonial_product,,
1773,Marseille,154538138.9824246,total_no_colonial_product,,
1774,Marseille,124081140.41220024,total_no_colonial_product,,
1775,Marseille,121943636.64649874,total_no_colonial_product,,
1776,Marseille,136550528.42887792,total_no_colonial_product,139611255.82994252,131263070.53147468
1777,Marseille,123496709.83509737,total_no_colonial_product,140567811.3070282,131101881.52944699
1778,Marseille,85929853.85705909,total_no_colonial_product,141530920.68533987,130940890.46499817
1779,Marseille,79140647.77318889,total_no_colonial_product,142500628.86935225,130780097.09506348
1780,Marseille,84088793.57815945,total_no_colonial_product,143476981.071206,130619501.17687808
1781,Marseille,,total_no_colonial_product,144460022.8128152,130459102.46797383
1782,Marseille,,total_no_colonial_product,145449799.92799217,130298900.72618036
1783,Marseille,,total_no_colonial_product,146446358.564579,130138895.70962606
1784,Marseille,,total_no_colonial_product,,
1785,Marseille,,total_no_colonial_product,,
1786,Marseille,,total_no_colonial_product,,
1787,Marseille,,total_no_colonial_product,,
1788,Marseille,,total_no_colonial_product,,
1789,Marseille,158724007.9136053,total_no_colonial_product,,
1716,Marseille,,total_no_colonial_trade,,
1717,Marseille,,total_no_colonial_trade,,
1718,Marseille,,total_no_colonial_trade,,
1719,Marseille,,total_no_colonial_trade,,
1720,Marseille,,total_no_colonial_trade,,
1721,Marseille,,total_no_colonial_trade,,
1722,Marseille,,total_no_colonial_trade,,
1723,Marseille,,total_no_colonial_trade,,
1724,Marseille,,total_no_colonial_trade,,
1725,Marseille,,total_no_colonial_trade,,
1726,Marseille,,total_no_colonial_trade,,
1727,Marseille,,total_no_colonial_trade,,
1728,Marseille,,total_no_colonial_trade,,
1729,Marseille,,total_no_colonial_trade,,
1730,Marseille,,total_no_colonial_trade,,
1731,Marseille,,total_no_colonial_trade,,
1732,Marseille,,total_no_colonial_trade,,
1733,Marseille,,total_no_colonial_trade,,
1734,Marseille,,total_no_colonial_trade,,
1735,Marseille,,total_no_colonial_trade,,
1736,Marseille,,total_no_colonial_trade,,
1737,Marseille,,total_no_colonial_trade,,
1738,Marseille,,total_no_colonial_trade,,
1739,Marseille,,total_no_colonial_trade,,
1740,Marseille,83528473.58130832,total_no_colonial_trade,,
1741,Marseille,80442894.04194802,total_no_colonial_trade,,
1742,Marseille,,total_no_colonial_trade,,
1743,Marseille,102514428.9526298,total_no_colonial_trade,,
1744,Marseille,54888158.909766234,total_no_colonial_trade,108109571.53204407,108109571.53204407
1745,Marseille,61039145.42657339,total_no_colonial_trade,116627186.09087758,116627186.09087758
1746,Marseille,58479464.72048733,total_no_colonial_trade,125815876.82497229,125815876.82497229
1747,Marseille,68075928.23187415,total_no_colonial_trade,135728515.724472,135728515.724472
1748,Marseille,,total_no_colonial_trade,146422140.39803717,146422140.39803717
1749,Marseille,153302183.48,total_no_colonial_trade,,
1750,Marseille,130044152.91970532,total_no_colonial_trade,,
1751,Marseille,121368956.53832643,total_no_colonial_trade,,
1752,Marseille,122358614.1987883,total_no_colonial_trade,,
1753,Marseille,,total_no_colonial_trade,,
1754,Marseille,,total_no_colonial_trade,,
1755,Marseille,127785562.12080182,total_no_colonial_trade,,
1756,Marseille,90788787.0355993,total_no_colonial_trade,149361544.29364324,117916649.57132277
1757,Marseille,,total_no_colonial_trade,154466716.47692856,115348103.42296164
1758,Marseille,,total_no_colonial_trade,159746383.2608438,112835507.2133093
1759,Marseille,68534364.5690725,total_no_colonial_trade,165206508.86452913,110377642.20014322
1760,Marseille,,total_no_colonial_trade,170853261.36391908,107973316.1887696
1761,Marseille,88277865.529417,total_no_colonial_trade,176693019.65956077,105621362.95374578
1762,Marseille,104288919.31019527,total_no_colonial_trade,182732380.68259,103320641.67319992
1763,Marseille,132687047.80941623,total_no_colonial_trade,188978166.84701416,101070036.37546903
1764,Marseille,131199525.23608553,total_no_colonial_trade,,
1765,Marseille,119873828.65299034,total_no_colonial_trade,,
1766,Marseille,123989810.9937569,total_no_colonial_trade,,
1767,Marseille,135628413.29271185,total_no_colonial_trade,,
1768,Marseille,152201071.90395483,total_no_colonial_trade,,
1769,Marseille,129099151.37968625,total_no_colonial_trade,,
1770,Marseille,138117320.9658601,total_no_colonial_trade,,
1771,Marseille,,total_no_colonial_trade,,
1772,Marseille,135495932.28156555,total_no_colonial_trade,,
1773,Marseille,167201810.77750617,total_no_colonial_trade,,
1774,Marseille,117489717.19887938,total_no_colonial_trade,,
1775,Marseille,121320676.70099051,total_no_colonial_trade,,
1776,Marseille,161132795.97578165,total_no_colonial_trade,144304982.55404317,135328002.90408492
1777,Marseille,139048842.87283474,total_no_colonial_trade,145690855.8546969,135670688.15902448
1778,Marseille,95421751.18880251,total_no_colonial_trade,147090038.77759284,136014241.18102998
1779,Marseille,102940014.17608234,total_no_colonial_trade,148502659.14541447,136358664.16750994
1780,Marseille,115675003.22457734,total_no_colonial_trade,149928846.00842616,136703959.3214379
1781,Marseille,,total_no_colonial_trade,151368729.6562627,137050128.85136524
1782,Marseille,,total_no_colonial_trade,152822441.62983173,137397174.9714375
1783,Marseille,,total_no_colonial_trade,154290114.73333097,137745099.90140563
1784,Marseille,,total_no_colonial_trade,,
1785,Marseille,,total_no_colonial_trade,,
1786,Marseille,,total_no_colonial_trade,,
1787,Marseille,,total_no_colonial_trade,,
1788,Marseille,,total_no_colonial_trade,,
1789,Marseille,194887727.8724723,total_no_colonial_trade,,
1716,Marseille,,imports_no_colonial_product,,
1717,Marseille,,imports_no_colonial_product,,
1718,Marseille,,imports_no_colonial_product,,
1719,Marseille,,imports_no_colonial_product,,
1720,Marseille,,imports_no_colonial_product,,
1721,Marseille,,imports_no_colonial_product,,
1722,Marseille,,imports_no_colonial_product,,
1723,Marseille,,imports_no_colonial_product,,
1724,Marseille,,imports_no_colonial_product,,
1725,Marseille,,imports_no_colonial_product,,
1726,Marseille,,imports_no_colonial_product,,
1727,Marseille,,imports_no_colonial_product,,
1728,Marseille,,imports_no_colonial_product,,
1729,Marseille,,imports_no_colonial_product,,
1730,Marseille,,imports_no_colonial_product,,
1731,Marseille,,imports_no_colonial_product,,
1732,Marseille,,imports_no_colonial_product,,
1733,Marseille,,imports_no_colonial_product,,
1734,Marseille,,imports_no_colonial_product,,
1735,Marseille,,imports_no_colonial_product,,
1736,Marseille,,imports_no_colonial_product,,
1737,Marseille,,imports_no_colonial_product,,
1738,Marseille,,imports_no_colonial_product,,
1739,Marseille,,imports_no_colonial_product,,
1740,Marseille,42770046.7452086,imports_no_colonial_product,,
1741,Marseille,43933405.025973506,imports_no_colonial_product,,
1742,Marseille,44357692.08332365,imports_no_colonial_product,,
1743,Marseille,56034306.568348326,imports_no_colonial_product,,
1744,Marseille,28740089.852575596,imports_no_colonial_product,57064840.84212788,57064840.84212788
1745,Marseille,30833885.413602903,imports_no_colonial_product,61941297.8960274,61941297.8960274
1746,Marseille,29651222.161240414,imports_no_colonial_product,67234470.97064297,67234470.97064297
1747,Marseille,34037964.11593708,imports_no_colonial_product,72979970.39535964,72979970.39535964
1748,Marseille,36626721.924818955,imports_no_colonial_product,79216449.5684532,79216449.5684532
1749,Marseille,77816510.64,imports_no_colonial_product,,
1750,Marseille,66170875.756852664,imports_no_colonial_product,,
1751,Marseille,61522770.47357665,imports_no_colonial_product,,
1752,Marseille,62664310.407607,imports_no_colonial_product,,
1753,Marseille,58563002.97366647,imports_no_colonial_product,,
1754,Marseille,60963457.2636041,imports_no_colonial_product,,
1755,Marseille,67530864.66140786,imports_no_colonial_product,,
1756,Marseille,45795601.118200876,imports_no_colonial_product,71212318.09747003,59130377.45682181
1757,Marseille,49250171.02619471,imports_no_colonial_product,73201070.91774376,57797163.83497492
1758,Marseille,33598548.635578014,imports_no_colonial_product,75245363.81711917,56494010.203237176
1759,Marseille,34296920.28453625,imports_no_colonial_product,77346747.86838622,55220238.798502125
1760,Marseille,,imports_no_colonial_product,79506817.46128605,53975187.13919997
1761,Marseille,44138932.7647085,imports_no_colonial_product,81727211.51222399,52758207.68074373
1762,Marseille,52798052.655100636,imports_no_colonial_product,84009614.70777196,51568667.47874629
1763,Marseille,69700948.87807575,imports_no_colonial_product,86355758.78289549,50405947.85982723
1764,Marseille,70510017.87171552,imports_no_colonial_product,,
1765,Marseille,65394596.743587896,imports_no_colonial_product,,
1766,Marseille,66919275.50400648,imports_no_colonial_product,,
1767,Marseille,73431204.5040921,imports_no_colonial_product,,
1768,Marseille,80911944.16220726,imports_no_colonial_product,,
1769,Marseille,68691452.99475726,imports_no_colonial_product,,
1770,Marseille,73671184.88459273,imports_no_colonial_product,,
1771,Marseille,83992829.23529848,imports_no_colonial_product,,
1772,Marseille,73461647.39080803,imports_no_colonial_product,,
1773,Marseille,89319211.58882771,imports_no_colonial_product,,
1774,Marseille,63014959.7999412,imports_no_colonial_product,,
1775,Marseille,65460153.10098726,imports_no_colonial_product,,
1776,Marseille,86733626.53943223,imports_no_colonial_product,79633465.01356189,74258761.65062998
1777,Marseille,75605403.43685709,imports_no_colonial_product,80619240.14901212,74532991.76882146
1778,Marseille,50264762.644664966,imports_no_colonial_product,81617218.10167657,74808234.59118511
1779,Marseille,52189930.038640864,imports_no_colonial_product,82627549.92907538,75084493.85753475
1780,Marseille,59098273.96229381,imports_no_colonial_product,83650388.55865665,75361773.32149582
1781,Marseille,,imports_no_colonial_product,84685888.81094167,75640076.75055546
1782,Marseille,,imports_no_colonial_product,85734207.4229616,75919407.926113
1783,Marseille,,imports_no_colonial_product,86795503.07197918,76199770.64353286
1784,Marseille,,imports_no_colonial_product,,
1785,Marseille,,imports_no_colonial_product,,
1786,Marseille,,imports_no_colonial_product,,
1787,Marseille,,imports_no_colonial_product,,
1788,Marseille,,imports_no_colonial_product,,
1789,Marseille,99920806.93623611,imports_no_colonial_product,,
1716,Marseille,,exports_no_colonial_product,,
1717,Marseille,,exports_no_colonial_product,,
1718,Marseille,,exports_no_colonial_product,,
1719,Marseille,,exports_no_colonial_product,,
1720,Marseille,,exports_no_colonial_product,,
1721,Marseille,,exports_no_colonial_product,,
1722,Marseille,,exports_no_colonial_product,,
1723,Marseille,,exports_no_colonial_product,,
1724,Marseille,,exports_no_colonial_product,,
1725,Marseille,,exports_no_colonial_product,,
1726,Marseille,,exports_no_colonial_product,,
1727,Marseille,,exports_no_colonial_product,,
1728,Marseille,,exports_no_colonial_product,,
1729,Marseille,,exports_no_colonial_product,,
1730,Marseille,,exports_no_colonial_product,,
1731,Marseille,,exports_no_colonial_product,,
1732,Marseille,,exports_no_colonial_product,,
1733,Marseille,,exports_no_colonial_product,,
1734,Marseille,,exports_no_colonial_product,,
1735,Marseille,,exports_no_colonial_product,,
1736,Marseille,,exports_no_colonial_product,,
1737,Marseille,,exports_no_colonial_product,,
1738,Marseille,,exports_no_colonial_product,,
1739,Marseille,,exports_no_colonial_product,,
1740,Marseille,49422807.176458314,exports_no_colonial_product,,
1741,Marseille,52428629.65663297,exports_no_colonial_product,,
1742,Marseille,,exports_no_colonial_product,,
1743,Marseille,55366369.36305288,exports_no_colonial_product,,
1744,Marseille,23437578.33503285,exports_no_colonial_product,57676659.42404339,57676659.42404339
1745,Marseille,39620045.021724395,exports_no_colonial_product,59811182.7113564,59811182.7113564
1746,Marseille,37833080.44621586,exports_no_colonial_product,62024701.37928923,62024701.37928923
1747,Marseille,35801721.88382342,exports_no_colonial_product,64320138.92377951,64320138.92377951
1748,Marseille,,exports_no_colonial_product,66700527.03479432,66700527.03479432
1749,Marseille,60038359.53080777,exports_no_colonial_product,,
1750,Marseille,65890864.83463517,exports_no_colonial_product,,
1751,Marseille,58718439.72702257,exports_no_colonial_product,,
1752,Marseille,65513958.48163942,exports_no_colonial_product,,
1753,Marseille,,exports_no_colonial_product,,
1754,Marseille,,exports_no_colonial_product,,
1755,Marseille,53187160.540732235,exports_no_colonial_product,,
1756,Marseille,54105397.13667827,exports_no_colonial_product,62861905.52024093,54203891.15225125
1757,Marseille,,exports_no_colonial_product,63561821.66443849,52927563.94560822
1758,Marseille,,exports_no_colonial_product,64269530.80512364,51681290.13741663
1759,Marseille,32158735.983083803,exports_no_colonial_product,64985119.71096804,50464362.066855825
1760,Marseille,29649339.857185278,exports_no_colonial_product,65708676.116741836,49276088.73624019
1761,Marseille,29538276.835310083,exports_no_colonial_product,66440288.73407114,48115795.41865598
1762,Marseille,30714874.18510083,exports_no_colonial_product,67180047.26231286,46982823.27483692
1763,Marseille,72687975.69691333,exports_no_colonial_product,67928042.39955418,45876528.97906135
1764,Marseille,71629340.88041389,exports_no_colonial_product,,
1765,Marseille,65846058.44717012,exports_no_colonial_product,,
1766,Marseille,57929100.52750672,exports_no_colonial_product,,
1767,Marseille,55535076.677736424,exports_no_colonial_product,,
1768,Marseille,59197370.096609674,exports_no_colonial_product,,
1769,Marseille,55967155.35891916,exports_no_colonial_product,,
1770,Marseille,50330120.70300029,exports_no_colonial_product,,
1771,Marseille,,exports_no_colonial_product,,
1772,Marseille,69877732.33993451,exports_no_colonial_product,,
1773,Marseille,65218927.39359687,exports_no_colonial_product,,
1774,Marseille,61066180.612259045,exports_no_colonial_product,,
1775,Marseille,56483483.545511484,exports_no_colonial_product,,
1776,Marseille,49816901.889445685,exports_no_colonial_product,61832162.201634586,58600366.11717354
1777,Marseille,47891306.398240276,exports_no_colonial_product,62007330.2745304,58318833.45540923
1778,Marseille,35665091.212394126,exports_no_colonial_product,62182994.59165667,58038653.355836794
1779,Marseille,26950717.734548032,exports_no_colonial_product,62359156.558853894,57759819.32036635
1780,Marseille,24990519.615865637,exports_no_colonial_product,62535817.585945085,57482324.882127084
1781,Marseille,,exports_no_colonial_product,62712979.086747184,57206163.60531685
1782,Marseille,,exports_no_colonial_product,62890642.47908269,56931329.08505248
1783,Marseille,,exports_no_colonial_product,63068809.18479003,56657814.94722191
1784,Marseille,,exports_no_colonial_product,,
1785,Marseille,,exports_no_colonial_product,,
1786,Marseille,,exports_no_colonial_product,,
1787,Marseille,,exports_no_colonial_product,,
1788,Marseille,,exports_no_colonial_product,,
1789,Marseille,58803200.97736919,exports_no_colonial_product,,
1716,Marseille,,imports_no_colonial_trade,,
1717,Marseille,,imports_no_colonial_trade,,
1718,Marseille,,imports_no_colonial_trade,,
1719,Marseille,,imports_no_colonial_trade,,
1720,Marseille,,imports_no_colonial_trade,,
1721,Marseille,,imports_no_colonial_trade,,
1722,Marseille,,imports_no_colonial_trade,,
1723,Marseille,,imports_no_colonial_trade,,
1724,Marseille,,imports_no_colonial_trade,,
1725,Marseille,,imports_no_colonial_trade,,
1726,Marseille,,imports_no_colonial_trade,,
1727,Marseille,,imports_no_colonial_trade,,
1728,Marseille,,imports_no_colonial_trade,,
1729,Marseille,,imports_no_colonial_trade,,
1730,Marseille,,imports_no_colonial_trade,,
1731,Marseille,,imports_no_colonial_trade,,
1732,Marseille,,imports_no_colonial_trade,,
1733,Marseille,,imports_no_colonial_trade,,
1734,Marseille,,imports_no_colonial_trade,,
1735,Marseille,,imports_no_colonial_trade,,
1736,Marseille,,imports_no_colonial_trade,,
1737,Marseille,,imports_no_colonial_trade,,
1738,Marseille,,imports_no_colonial_trade,,
1739,Marseille,,imports_no_colonial_trade,,
1740,Marseille,41764236.79065416,imports_no_colonial_trade,,
1741,Marseille,40221447.02097401,imports_no_colonial_trade,,
1742,Marseille,40873649.5817131,imports_no_colonial_trade,,
