year,direction_ferme,value,kind,peace_reg_memory,peace_reg
1716,Marseille,,total,,
1717,Marseille,,total,,
1718,Marseille,,total,,
1719,Marseille,,total,,
1720,Marseille,,total,,
1721,Marseille,,total,,
1722,Marseille,,total,,
1723,Marseille,,total,,
1724,Marseille,,total,,
1725,Marseille,,total,,
1726,Marseille,,total,,
1727,Marseille,,total,,
1728,Marseille,,total,,
1729,Marseille,,total,,
1730,Marseille,,total,,
1731,Marseille,,total,,
1732,Marseille,,total,,
1733,Marseille,,total,,
1734,Marseille,,total,,
1735,Marseille,,total,,
1736,Marseille,,total,,
1737,Marseille,,total,,
1738,Marseille,,total,,
1739,Marseille,,total,,
1740,Marseille,109641515.25605261,total,,
1741,Marseille,115366928.14755529,total,,
1742,Marseille,,total,,
1743,Marseille,128194438.10974611,total,,
1744,Marseille,60782878.49634711,total,135028534.99808362,135028534.99808362
1745,Marseille,78061061.12713285,total,142263813.640281,142263813.640281
1746,Marseille,73432842.2245298,total,149886782.61053583,149886782.61053583
1747,Marseille,74418213.11469391,total,157918215.64789405,157918215.64789405
1748,Marseille,,total,166379999.61753914,166379999.61753914
1749,Marseille,160025524.75081217,total,,
1750,Marseille,151081185.75407392,total,,
1751,Marseille,138986808.4911104,total,,
1752,Marseille,152649217.7040942,total,,
1753,Marseille,,total,,
1754,Marseille,,total,,
1755,Marseille,142798869.80244273,total,,
1756,Marseille,113083436.7717866,total,161724699.12300253,139493195.39254272
1757,Marseille,,total,165068537.12571332,137523816.31666926
1758,Marseille,,total,168481512.69769582,135582241.13426584
1759,Marseille,71379103.67011715,total,171965055.33507904,133668077.30714491
1760,Marseille,,total,175520624.09041402,131780937.83901428
1761,Marseille,79304676.76851721,total,179149708.18378964,129920441.19723321
1762,Marseille,91016133.9788189,total,182853827.62657115,128086211.235678
1763,Marseille,169785284.90606418,total,186634533.85805428,126277877.11869399
1764,Marseille,170896325.58873504,total,,
1765,Marseille,160257892.32954246,total,,
1766,Marseille,149053946.65444914,total,,
1767,Marseille,155819227.45312315,total,,
1768,Marseille,164926838.7412307,total,,
1769,Marseille,151407884.4146128,total,,
1770,Marseille,151567891.1033504,total,,
1771,Marseille,,total,,
1772,Marseille,175456907.62145907,total,,
1773,Marseille,191943367.39045423,total,,
1774,Marseille,154534027.9831894,total,,
1775,Marseille,152787784.539378,total,,
1776,Marseille,168894978.15374836,total,171884529.249406,164065633.58895093
1777,Marseille,151112290.19980615,total,173358839.78867877,164496623.03903565
1778,Marseille,112736817.52331236,total,174845795.9777706,164928744.66959053
1779,Marseille,90291903.57251516,total,176345506.28260857,165362001.45477745
1780,Marseille,95011300.43057716,total,177858080.09946787,165796396.3765717
1781,Marseille,,total,179383627.7629524,166231932.42478207
1782,Marseille,,total,180922260.55403998,166668612.59707075
1783,Marseille,,total,182474090.7082067,167106439.8989764
1784,Marseille,,total,,
1785,Marseille,,total,,
1786,Marseille,,total,,
1787,Marseille,,total,,
1788,Marseille,,total,,
1789,Marseille,213669273.7414955,total,,
1716,Marseille,,imports,,
1717,Marseille,,imports,,
1718,Marseille,,imports,,
1719,Marseille,,imports,,
1720,Marseille,,imports,,
1721,Marseille,,imports,,
1722,Marseille,,imports,,
1723,Marseille,,imports,,
1724,Marseille,,imports,,
1725,Marseille,,imports,,
1726,Marseille,,imports,,
1727,Marseille,,imports,,
1728,Marseille,,imports,,
1729,Marseille,,imports,,
1730,Marseille,,imports,,
1731,Marseille,,imports,,
1732,Marseille,,imports,,
1733,Marseille,,imports,,
1734,Marseille,,imports,,
1735,Marseille,,imports,,
1736,Marseille,,imports,,
1737,Marseille,,imports,,
1738,Marseille,,imports,,
1739,Marseille,,imports,,
1740,Marseille,49485692.83599193,imports,,
1741,Marseille,51981444.31035002,imports,,
1742,Marseille,52176220.79880458,imports,,
1743,Marseille,64238856.881133206,imports,,
1744,Marseille,32198747.948294297,imports,65962071.54714142,65962071.54714142
1745,Marseille,35635165.03908121,imports,71359559.20284958,71359559.20284958
1746,Marseille,32880300.461018704,imports,77198707.8360006,77198707.8360006
1747,Marseille,35600040.11585111,imports,83515657.30117384,83515657.30117384
1748,Marseille,40122103.95795721,imports,90349504.67389138,90349504.67389138
1749,Marseille,88233454.24000002,imports,,
1750,Marseille,75982636.59665269,imports,,
1751,Marseille,67624214.96659152,imports,,
1752,Marseille,72536829.71123928,imports,,
1753,Marseille,67731312.8675276,imports,,
1754,Marseille,74212763.01663025,imports,,
1755,Marseille,79420447.92118071,imports,,
1756,Marseille,50817634.884949565,imports,82562154.1299999,71058722.4729874
1757,Marseille,53358505.38187696,imports,84872476.49264306,70147837.01797822
1758,Marseille,36837276.13591482,imports,87247448.20310876,69248627.99456328
1759,Marseille,38241410.691821605,imports,89688878.3328242,68360945.72524603
1760,Marseille,,imports,92198626.5761469,67484642.45121136
1761,Marseille,47979838.72922086,imports,94778604.66693728,66619572.30772985
1762,Marseille,58356347.295732476,imports,97430777.83477102,65765591.299879216
1763,Marseille,89767126.8384973,imports,100157166.30190037,64922557.27857506
1764,Marseille,85098107.90470757,imports,,
1765,Marseille,79928781.17570402,imports,,
1766,Marseille,80910757.86589214,imports,,
1767,Marseille,86346788.65913217,imports,,
1768,Marseille,93173015.27424042,imports,,
1769,Marseille,82762431.8833999,imports,,
1770,Marseille,88861607.23503114,imports,,
1771,Marseille,97527353.57682055,imports,,
1772,Marseille,92094448.76964861,imports,,
1773,Marseille,108209078.53882226,imports,,
1774,Marseille,81034010.6166285,imports,,
1775,Marseille,80127942.99381651,imports,,
1776,Marseille,104908999.16201356,imports,97303894.21451236,91778169.22289327
1777,Marseille,89843072.74581158,imports,98690896.93124546,92430946.13595872
1778,Marseille,64536603.70214123,imports,100097670.45521864,93088365.95813684
1779,Marseille,55490251.31357412,imports,101524496.60622519,93750461.71235538
1780,Marseille,65428244.06186197,imports,102971661.22121336,94417266.65641995
1781,Marseille,,imports,104439454.21154782,95088814.28468403
1782,Marseille,,imports,105928169.6210893,95765138.3297304
1783,Marseille,,imports,107438105.68509835,96446272.76406756
1784,Marseille,,imports,,
1785,Marseille,,imports,,
1786,Marseille,,imports,,
1787,Marseille,,imports,,
1788,Marseille,,imports,,
1789,Marseille,131546378.56101577,imports,,
1716,Marseille,,exports,,
1717,Marseille,,exports,,
1718,Marseille,,exports,,
1719,Marseille,,exports,,
1720,Marseille,,exports,,
1721,Marseille,,exports,,
1722,Marseille,,exports,,
1723,Marseille,,exports,,
1724,Marseille,,exports,,
1725,Marseille,,exports,,
1726,Marseille,,exports,,
1727,Marseille,,exports,,
1728,Marseille,,exports,,
1729,Marseille,,exports,,
1730,Marseille,,exports,,
1731,Marseille,,exports,,
1732,Marseille,,exports,,
1733,Marseille,,exports,,
1734,Marseille,,exports,,
1735,Marseille,,exports,,
1736,Marseille,,exports,,
1737,Marseille,,exports,,
1738,Marseille,,exports,,
1739,Marseille,,exports,,
1740,Marseille,60155822.42006069,exports,,
1741,Marseille,63385483.837205276,exports,,
1742,Marseille,,exports,,
1743,Marseille,63955581.22861291,exports,,
1744,Marseille,28584130.54805281,exports,65572729.99251215,65572729.99251215
1745,Marseille,42425896.08805164,exports,66773055.283784635,66773055.283784635
1746,Marseille,40552541.76351109,exports,67995352.83097889,67995352.83097889
1747,Marseille,38818172.998842806,exports,69240024.84175745,69240024.84175745
1748,Marseille,,exports,70507480.88629614,70507480.88629614
1749,Marseille,71792070.51081216,exports,,
1750,Marseille,75098549.15742122,exports,,
1751,Marseille,71362593.52451889,exports,,
1752,Marseille,80112387.99285492,exports,,
1753,Marseille,,exports,,
1754,Marseille,,exports,,
1755,Marseille,63378421.881262034,exports,,
1756,Marseille,62265801.88683704,exports,74890581.92816487,65518383.91504577
1757,Marseille,,exports,75712100.35260348,64161728.00815517
1758,Marseille,,exports,76542630.49125656,62833163.68624761
1759,Marseille,33137692.97829555,exports,77382271.19886729,61532109.271137156
1760,Marseille,30709015.25629021,exports,78231122.41457492,60257995.12915271
1761,Marseille,31324838.039296355,exports,79089285.17380854,59010263.421738334
1762,Marseille,32659786.68308642,exports,79956861.620314,57788367.86121784
1763,Marseille,80018158.06756689,exports,80833955.01831111,56591773.47161654
1764,Marseille,85798217.6840275,exports,,
1765,Marseille,80329111.15383846,exports,,
1766,Marseille,68143188.788557,exports,,
1767,Marseille,69472438.79399098,exports,,
1768,Marseille,71753823.46699028,exports,,
1769,Marseille,68645452.5312129,exports,,
1770,Marseille,62706283.86831925,exports,,
1771,Marseille,,exports,,
1772,Marseille,83362458.85181047,exports,,
1773,Marseille,83734288.85163195,exports,,
1774,Marseille,73500017.3665609,exports,,
1775,Marseille,72659841.54556146,exports,,
1776,Marseille,63985978.99173481,exports,76505480.22183841,73744599.52568355
1777,Marseille,61269217.45399458,exports,76821683.75453392,73675367.65258697
1778,Marseille,48200213.821171135,exports,77139194.18281154,73606200.7747888
1779,Marseille,34801652.25894105,exports,77458016.90817949,73537098.83127132
1780,Marseille,29583056.368715186,exports,77778157.35447113,73468061.76107332
1781,Marseille,,exports,78099620.96793698,73399089.5032916
1782,Marseille,,exports,78422413.21733707,73330181.99707988
1783,Marseille,,exports,78746539.59403513,73261339.181649
1784,Marseille,,exports,,
1785,Marseille,,exports,,
1786,Marseille,,exports,,
1787,Marseille,,exports,,
1788,Marseille,,exports,,
1789,Marseille,82122895.1804797,exports,,
1716,Marseille,,total_no_colonial_product,,
1717,Marseille,,total_no_colonial_product,,
1718,Marseille,,total_no_colonial_product,,
1719,Marseille,,total_no_colonial_product,,
1720,Marseille,,total_no_colonial_product,,
1721,Marseille,,total_no_colonial_product,,
1722,Marseille,,total_no_colonial_product,,
1723,Marseille,,total_no_colonial_product,,
1724,Marseille,,total_no_colonial_product,,
1725,Marseille,,total_no_colonial_product,,
1726,Marseille,,total_no_colonial_product,,
1727,Marseille,,total_no_colonial_product,,
1728,Marseille,,total_no_colonial_product,,
1729,Marseille,,total_no_colonial_product,,
1730,Marseille,,total_no_colonial_product,,
1731,Marseille,,total_no_colonial_product,,
1732,Marseille,,total_no_colonial_product,,
1733,Marseille,,total_no_colonial_product,,
1734,Marseille,,total_no_colonial_product,,
1735,Marseille,,total_no_colonial_product,,
1736,Marseille,,total_no_colonial_product,,
1737,Marseille,,total_no_colonial_product,,
1738,Marseille,,total_no_colonial_product,,
1739,Marseille,,total_no_colonial_product,,
1740,Marseille,92192853.92166692,total_no_colonial_product,,
1741,Marseille,96362034.68260647,total_no_colonial_product,,
1742,Marseille,,total_no_colonial_product,,
1743,Marseille,111400675.93140121,total_no_colonial_product,,
1744,Marseille,52177668.18760845,total_no_colonial_product,118335471.45300852,118335471.45300852
1745,Marseille,70453930.43532729,total_no_colonial_product,126210843.43881693,126210843.43881693
1746,Marseille,67484302.60745627,total_no_colonial_product,134610331.17076057,134610331.17076057
1747,Marseille,69839685.9997605,total_no_colonial_product,143568815.19998568,143568815.19998568
1748,Marseille,,total_no_colonial_product,153123497.42145857,153123497.42145857
1749,Marseille,137854870.17080778,total_no_colonial_product,,
1750,Marseille,132061740.59148782,total_no_colonial_product,,
1751,Marseille,120241210.20059922,total_no_colonial_product,,
1752,Marseille,128178268.88924642,total_no_colonial_product,,
1753,Marseille,,total_no_colonial_product,,
1754,Marseille,,total_no_colonial_product,,
1755,Marseille,120718025.2021401,total_no_colonial_product,,
