year,direction_ferme,total,imports,exports
1750,Marseille,304485319.5797464,152496833.2879763,151988486.2917699
1750,Rouen,97351140.524006,53032437.313203305,44318703.210802816
1750,Bordeaux,117862484.30239916,50678017.526602775,67184466.77579643
1750,Flandre,9523505.379198486,4533582.0788693,4989923.30032919
1750,Nantes,68288231.9446524,36035938.34740181,32252293.597250566
1750,Châlons,11589345.049627101,2536181.7974842004,9053163.252142899
1750,Bayonne,33184163.260137014,15173165.29888114,18010997.961255867
1750,La Rochelle,42173018.97635814,22848873.886181694,19324145.090176456
1750,Lyon,35097624.42834328,11375485.108757298,23722139.319585994
1750,Montpellier,2344085.0492931996,369152.7981139999,1974932.2511791997
1750,Amiens,7273621.401244678,1800148.9013552808,5473472.499889401
1750,Charleville,2586669.2130311998,2475958.5130182,110710.70001299998
1750,Rennes,38488351.493898615,7127744.219209901,31360607.274688717
1750,Narbonne,273907.5998945,152531.39990989992,121376.19998460001
1750,Saint-Quentin,6377321.600661298,1078019.7009989999,5299301.8996623
1750,Langres,1175966.249852,40282.400052000005,1135683.8498
1750,Bourgogne,1686916.8974962004,376990.0007462999,1309926.8967499
1750,Caen,62463.600121200005,42637.499899,19826.100222200002
1753,Marseille,202480810.6195276,135862052.26752758,66618758.352
1753,Rouen,62604194.215,37387080.89,25217113.325000003
1753,Bordeaux,213579464.98838356,62424118.15584226,151155346.83254132
1753,Flandre,12697995.392,5387658.902,7310336.49
1753,Nantes,69600870.10452572,24768863.537,44832006.56752571
1753,Châlons,11029192.40999,3127238.09999,7901954.31
1753,Bayonne,31066627.838115618,11899681.532754797,19166946.305360824
1753,La Rochelle,33690930.77056341,16772568.992186999,16918361.778376397
1753,Lyon,58830522.70999999,23460722.3,35369800.41
1753,Montpellier,3843268.3331899997,247665.15239000003,3595603.1807999997
1753,Amiens,7722781.438019999,1602986.09902,6119795.339
1753,Charleville,2966310.25,2859835.25,106475.0
1753,Rennes,55974007.526888914,6388154.13,49585853.39688892
1753,Narbonne,195896.352,64972.102,130924.25
1753,Saint-Quentin,5281384.1,632133.86,4649250.24
1753,Langres,1154347.87998,167370.49998000002,986977.38
1753,Bourgogne,3090578.58001,439702.56001,2650876.02
1753,Caen,921613.94502,757475.7500199999,164138.195
1756,Marseille,227117794.3717866,102618464.18494956,124499330.18683703
1756,Rouen,38747138.20080469,28162686.968804687,10584451.231999997
1756,Bordeaux,97794358.263018,33403852.217854105,64390506.045163944
1756,Flandre,12900482.581,5189614.601,7710867.9799999995
1756,Nantes,32549930.86072032,13371505.433841467,19178425.426878866
1756,Châlons,13286197.100000001,2907965.0,10378232.100000001
1756,Bayonne,38847575.21269976,15780793.08341337,23066782.129286397
1756,La Rochelle,29207850.32653921,14124020.548738562,15083829.77780065
1756,Lyon,50810577.06,16730205.5,34080371.56
1756,Montpellier,4022687.9840000006,1031891.004,2990796.9800000004
1756,Amiens,5286708.8231,1536699.443,3750009.3801
1756,Charleville,3840246.00599,3715910.504,124335.50198999999
1756,Rennes,80181554.37879723,9467276.10459038,70714278.27420688
1756,Narbonne,190033.1521,59730.9521,130302.2
1756,Saint-Quentin,5483312.22,833367.6100000001,4649944.61
1756,Langres,953863.0001000002,339882.6601,613980.3400000001
1756,Bourgogne,2765247.0300000003,670485.26,2094761.77
1756,Caen,423983.84,384540.49000000005,39443.35
1766,Marseille,303324433.654449,163007173.86589214,140317259.788557
1766,Rouen,123032512.35516083,66170961.6651767,56861550.68998417
1766,Bordeaux,143017614.17871955,48174062.307875685,94843551.87084389
1766,Flandre,18881379.0,6084869.0,12796510.0
1766,Nantes,138701619.86086693,34820717.13215263,103880902.7287143
1766,Châlons,12802744.0,3138730.0,9664014.0
1766,Bayonne,34221197.57666089,13127539.214066982,21093658.362593904
1766,La Rochelle,25805199.06650964,9867862.974354845,15937336.0921548
1766,Lyon,54239718.0,12011682.0,42228036.0
1766,Montpellier,4364290.0,644355.0,3719935.0
1766,Amiens,9034674.0,1562310.0,7472364.0
1766,Charleville,2983768.0,2638125.0,345643.0
1766,Rennes,34758992.678696565,8156119.796329018,26602872.88236755
1766,Narbonne,604063.0,132695.0,471368.0
1766,Saint-Quentin,5519342.0,260776.0,5258566.0
1766,Langres,1871896.0,370847.0,1501049.0
1766,Bourgogne,3741161.0,672893.0,3068268.0
1766,Caen,818473.0,544019.0,274454.0
1768,Marseille,328704560.7412306,185021459.27424043,143683101.4669903
1768,Rouen,131881836.56298818,81250977.22932436,50630859.333663836
1768,Bordeaux,137198094.23459554,38958112.71038781,98239981.52420768
1768,Flandre,20886430.0,9945548.0,10940882.0
1768,Nantes,60485796.96918555,19282692.0,41203104.96918555
1768,Châlons,11011749.0,2439943.0,8571806.0
1768,Bayonne,29693630.05783448,9582036.65555632,20111593.402278163
1768,La Rochelle,28466886.045252874,14893135.661642421,13573750.383610455
1768,Lyon,44223575.0,2526468.0,41697107.0
1768,Montpellier,2973285.0,551140.0,2422145.0
1768,Amiens,11262583.0,3071648.0,8190935.0
1768,Charleville,3446680.0,3203099.0,243581.0
1768,Rennes,40131319.842807576,14148128.15204724,25983191.690760333
1768,Narbonne,618374.0,90840.0,527534.0
1768,Saint-Quentin,5503275.0,301458.0,5201817.0
1768,Langres,2319884.0,441600.0,1878284.0
1768,Bourgogne,3516843.0,796928.0,2719915.0
1768,Caen,796171.0,443036.0,353135.0
1770,Marseille,299174009.10335046,177782551.23503113,121391457.86831924
1770,Rouen,118449698.418986,80008345.67622468,38441352.742761284
1770,Bordeaux,422863074.3233892,237410326.67024803,185452747.65314102
1770,Flandre,17962094.0,7690786.0,10271308.0
1770,Nantes,96189748.3759675,61123075.57753511,35066672.798432395
1770,Châlons,12763144.0,3470545.0,9292599.0
1770,Bayonne,28525603.78460992,11297586.76058723,17228017.02402269
1770,La Rochelle,21693601.53573215,9359636.09933538,12333965.436396774
1770,Lyon,42944283.0,3258705.0,39685578.0
1770,Montpellier,3884782.0,1528703.0,2356079.0
1770,Amiens,10076590.0,2829216.0,7247374.0
1770,Charleville,3066398.0,2632408.0,433990.0
1770,Rennes,21124940.0,6548849.0,14576091.0
1770,Narbonne,854296.0,153570.0,700726.0
1770,Saint-Quentin,4528417.0,296445.0,4231972.0
1770,Langres,2072914.0,359324.0,1713590.0
1770,Bourgogne,4082854.0,1068044.0,3014810.0
1770,Caen,969902.0,800677.0,169225.0
1771,Marseille,271548165.57682055,191169436.57682055,80378729.0
1771,Rouen,146542351.14141774,96813073.22247759,49729277.91894017
1771,Bordeaux,291379205.66051453,186643799.66051453,104735406.0
1771,Flandre,26824642.0,16138017.0,10686625.0
1771,Nantes,92725994.8860754,47781449.25181427,44944545.63426115
1771,Châlons,13511970.0,3672349.0,9839621.0
1771,Bayonne,30041028.643571436,10717018.8548549,19324009.788716532
1771,La Rochelle,21976828.44986194,9489602.03314896,12487226.41671298
1771,Lyon,39067548.0,2382475.0,36685073.0
1771,Montpellier,5014232.0,2366361.0,2647871.0
1771,Amiens,12953762.0,4198313.0,8755449.0
1771,Charleville,3111606.0,2857992.0,253614.0
1771,Rennes,63399049.05121726,40670878.68396292,22728170.36725433
1771,Narbonne,889983.0,165312.0,724671.0
1771,Saint-Quentin,5136737.0,393275.0,4743462.0
1771,Langres,1373424.0,417020.0,956404.0
1771,Bourgogne,4445564.0,894944.0,3550620.0
1771,Caen,1387564.6342879501,976093.73399513,411470.90029282006
1773,Marseille,419065572.3904543,251446518.53882226,167619053.85163194
1773,Rouen,143438121.04095,93759163.42205018,49678957.61889986
1773,Bordeaux,283336814.45848155,144661837.3156951,138674977.14278644
1773,Flandre,22184302.0,13315560.0,8868742.0
1773,Nantes,50896415.0,27873423.0,23022992.0
1773,Châlons,8261165.0,3107870.0,5153295.0
1773,Bayonne,27261100.41780458,10281163.952221457,16979936.465583127
1773,La Rochelle,58138291.95964257,21313831.011046313,36824460.94859624
1773,Lyon,48625124.0,5720608.0,42904516.0
1773,Montpellier,7621031.0,1855005.0,5766026.0
1773,Amiens,10212352.0,2559244.0,7653108.0
1773,Charleville,3401557.0,3118421.0,283136.0
1773,Rennes,107336554.7442601,76699320.53535679,30637234.208903298
1773,Narbonne,1082287.0,203172.0,879115.0
1773,Saint-Quentin,4956248.0,293813.0,4662435.0
1773,Langres,1693951.0,387333.0,1306618.0
1773,Bourgogne,5587062.0,1524824.0,4062238.0
1773,Caen,569189.0,384372.0,184817.0
1774,Marseille,312700460.98318946,163847118.6166285,148853342.3665609
1774,Rouen,159854954.58004874,108351769.07285963,51503185.50718913
1774,Bordeaux,248804173.8938669,120794169.57609494,128010004.31777196
1774,Flandre,22728684.0,13200534.0,9528150.0
1774,Nantes,100850656.23481002,53923017.14010851,46927639.09470151
1774,Châlons,8381068.0,3483585.0,4897483.0
1774,Bayonne,27678221.202568356,10703363.98299427,16974857.219574086
1774,La Rochelle,43570101.80073163,20339559.885690115,23230541.9150415
1774,Lyon,49781504.0,6010243.0,43771261.0
1774,Montpellier,6406455.0,1345713.0,5060742.0
1774,Amiens,11233097.0,3338686.0,7894411.0
1774,Charleville,3684713.0,3436112.0,248601.0
1774,Rennes,86681838.91797563,49373747.1778803,37308091.740095325
1774,Narbonne,1020552.0,242832.0,777720.0
1774,Saint-Quentin,6097809.0,482381.0,5615428.0
1774,Langres,1502850.0,500078.0,1002772.0
1774,Bourgogne,5300958.0,1741043.0,3559915.0
1774,Caen,1107396.32025225,541237.0,566159.3202522501
1777,Marseille,150242415.63533908,88396480.5348337,61845935.1005054
1777,Rouen,86407126.79480809,53197326.344240725,33209800.45056736
1777,Bordeaux,228393704.0458798,120126473.0029984,108267231.04288143
1777,Flandre,31211141.0,15841869.0,15369272.0
1777,Nantes,64394991.0393186,34308836.787491605,30086154.251827
1777,Châlons,9725829.000020001,3611352.0,6114477.00002
1777,Bayonne,15257524.20022,6872967.2,8384557.00022
1777,La Rochelle,21116146.586892366,9340972.9478621,11775173.639030265
1777,Lyon,52502595.0,6574619.0,45927976.0
1777,Montpellier,10618179.20136383,1275796.5002661,9342382.70109773
1777,Amiens,9324756.050345715,3145262.5004547,6179493.5498910155
1777,Charleville,3572022.0,3301072.0,270950.0
1777,Rennes,24730527.00156471,9534533.0041596,15195993.99740511
1777,Narbonne,721586.0,166178.0,555408.0
1777,Saint-Quentin,5241061.0,637275.0,4603786.0
1777,Langres,1950139.0,767613.0,1182526.0
1777,Bourgogne,6109444.0,1350262.0,4759182.0
1777,Caen,816984.45063552,469474.10043682,347510.35019870003
1778,Marseille,235463069.5233124,137485393.70214123,97977675.82117113
1778,Rouen,62928003.0,38573631.0,24354372.0
1778,Bordeaux,400982296.8864534,283346712.26045036,117635584.62600303
1778,Flandre,32279686.0,14893902.0,17385784.0
1778,Nantes,120565362.37826887,57300620.565855905,63264741.81241295
1778,Châlons,7559927.0,3654501.0,3905426.0
1778,Bayonne,28991955.153390467,9939748.792025309,19052206.36136516
1778,La Rochelle,33163721.728661295,17773081.512137674,15390640.216523634
1778,Lyon,67457048.0,26618952.0,40838096.0
1778,Montpellier,8804816.0,2632385.0,6172431.0
1778,Amiens,9593041.0,2006562.0,7586479.0
1778,Charleville,3544445.0,3330566.0,213879.0
1778,Rennes,35317096.790090844,17454186.371166848,17862910.418923993
1778,Narbonne,615651.0,171441.0,444210.0
1778,Saint-Quentin,4698348.0,385841.0,4312507.0
1778,Langres,1962346.0,1094079.0,868267.0
1778,Bourgogne,6895997.0,2928583.0,3967414.0
1778,Caen,776047.0,125227.0,650820.0
1779,Marseille,171503172.5725152,103278879.31357412,68224293.25894105
1779,Rouen,29925246.0,22277475.0,7647771.0
