direction_ferme,score_regression,slope
Marseille,0.04775797088593048,[-0.00639547]
Rouen,0.005393995894852344,[-0.00427742]
Bordeaux,0.0973918101582486,[0.01579027]
Flandre,0.937042861642462,[0.03874183]
Nantes,0.0036272720087655586,[-0.00319031]
Châlons,0.22081252520240435,[-0.00894368]
Bayonne,0.01657086117569795,[-0.00351117]
La Rochelle,0.17020744478682748,[-0.01598659]
Lyon,0.25908539797954,[0.01118126]
Montpellier,0.6809315965789627,[0.03827328]
Amiens,0.3444269599651305,[0.01382773]
Charleville,0.3479850563747673,[0.00660684]
Rennes,0.02078992620017217,[-0.00691462]
Narbonne,0.7307396185343815,[0.0576323]
Saint-Quentin,0.14920409779634702,[-0.00366262]
Langres,0.3556306806204561,[0.016089]
Bourgogne,0.8969181804815967,[0.03881089]
Caen,0.20996560155789268,[0.0361435]
