annee,nb_carriere,nb_navigo
1726,1401,
1727,1478,
1728,1644,
1729,1432,
1730,1444,
1731,1508,
1732,1811,
1733,1565,
1734,1811,
1735,1617,
1736,1833,
1737,1620,
1738,1572,
1739,1571,
1740,1393,
1741,1677,
1742,1540,
1743,2135,
1744,1533,
1745,1966,
1746,1737,
1747,2180,
1748,2195,
1749,2277,2291
1750,2120,
1751,2013,
1752,1892,
1753,2360,
1754,2074,
1755,1978,
1756,1981,
1757,1837,
1758,1797,
1759,1901,1926
1760,1895,
1761,2006,
1762,1922,
1763,2346,
1764,3193,
1765,2567,
1766,2518,
1767,2393,
1768,2288,
1769,2304,2320
1770,2527,
1771,2984,
1772,2561,
1773,2579,
1774,2491,
1775,2584,
1776,2830,
1777,2848,
1778,2593,
1779,2263,2329
1780,2555,
1781,,
1782,,
1783,,
1784,,
1785,,
1786,,
1787,,3296
1788,3273,
1789,,3084
1790,,
1791,,
1792,,
1793,,
1794,,
1795,,2258
1796,,
1797,,
1798,,
1799,,2629
