from,to,value
Subsistances (Provence),exports de la DF de Marseille,7896807
Matières premières (sans origine),exports de la DF de Marseille,10548748
Matières premières (Dauphiné),exports de la DF de Marseille,33737
Subsistances (Amérique),exports de la DF de Marseille,23004943
Matières premières (Provence),exports de la DF de Marseille,1990890
Matières premières (Languedoc),exports de la DF de Marseille,20414
Industrie française et étrangère (Provence),exports de la DF de Marseille,5533163
Drogues (Provence),exports de la DF de Marseille,123337
Matières premières (Monde),exports de la DF de Marseille,59744
Métaux (Provence),exports de la DF de Marseille,2406
Matières premières (Amérique),exports de la DF de Marseille,1907683
Subsistances (Dauphiné),exports de la DF de Marseille,139710
Subsistances (Bourgogne),exports de la DF de Marseille,12702
Industrie française et étrangère (Île-de-France),exports de la DF de Marseille,235501
Divers (sans origine),exports de la DF de Marseille,1665715
Industrie française et étrangère (sans origine),exports de la DF de Marseille,5460692
Divers (Provence),exports de la DF de Marseille,97402
Industrie française et étrangère (Languedoc),exports de la DF de Marseille,228819
Subsistances (Languedoc),exports de la DF de Marseille,289088
Industrie française et étrangère (Lyonnais),exports de la DF de Marseille,3519299
Objets manufacturés (sans origine),exports de la DF de Marseille,17258012
Industrie française et étrangère (Dauphiné),exports de la DF de Marseille,125543
Objets manufacturés (Lyonnais),exports de la DF de Marseille,5069678
Drogues médicinales (sans origine),exports de la DF de Marseille,371195
Subsistances (sans origine),exports de la DF de Marseille,6756425
Objets manufacturés (Monde),exports de la DF de Marseille,32561
Subsistances (Monde),exports de la DF de Marseille,671761
Objets manufacturés (Provence),exports de la DF de Marseille,1345416
Objets manufacturés (Languedoc),exports de la DF de Marseille,12662384
Industrie française et étrangère (Picardie),exports de la DF de Marseille,2211
Objets manufacturés (Normandie),exports de la DF de Marseille,1280132
Objets manufacturés (Dauphiné),exports de la DF de Marseille,10308
Objets manufacturés (Champagne),exports de la DF de Marseille,1356826
Objets manufacturés (Flandre),exports de la DF de Marseille,1035102
Objets manufacturés (Maine),exports de la DF de Marseille,260975
Objets manufacturés (Guyenne),exports de la DF de Marseille,18789
