port,latitude,longitude,category,count
"Terre-Neuve, île de",49,-56,Ponant,36
Plages romaines,42.254114, 11.757619,méditerranée occidentale,2
Patras,38.244444,21.734444,empire ottoman,23
Bayonne,43.483333,-1.483333,Ponant,7
Rotterdam,51.916667,4.5,Ponant,54
Amsterdam,52.35,4.916667,Ponant,68
Réthymnon,35.364722,24.471389,empire ottoman,5
Narbonne,43.183333,3,méditerranée occidentale,107
La Corogne,43.349974,-8.408375,méditerranée occidentale,2
Altea,38.6,-0.05,méditerranée occidentale,2
Alexandrette,36.581667,36.165,empire ottoman,30
Damiette,31.419444,31.815,empire ottoman,13
Tarente,40.476111,17.229722,méditerranée occidentale,20
Golfe de Patras,38.25,21.5,empire ottoman,10
Montalto,42.351452, 11.606691,méditerranée occidentale,34
Newcastle,54.988056,-1.619444,Ponant,6
La Canée,35.512222,24.015556,empire ottoman,38
Mazara,37.65,12.583333,méditerranée occidentale,3
Hambourg,53.55,10,Ponant,25
Brest,48.4,-4.483333,Ponant,24
Auguste,37.243892, 15.221945,méditerranée occidentale,4
Flessingue,51.45,3.583333,Ponant,1
La Ciotat,43.166667,5.6,méditerranée occidentale,180
Savone,44.283333,8.5,méditerranée occidentale,172
Corneto / Tarquinia,42.254114, 11.757619,méditerranée occidentale,18
Stockholm,59.333333,18.05,Ponant,49
"Sicile, underterminé",37.75,14.25,méditerranée occidentale,4
Stockton,54.564642, -1.310022,Ponant,8
Exeter,50.72077,-3.533664,Ponant,11
Pizzo,38.733333,16.166667,méditerranée occidentale,4
Salerne,40.683333,14.783333,méditerranée occidentale,7
Hull,53.716667,-0.333333,Ponant,10
Lloret,41.700753, 2.839579,méditerranée occidentale,30
Trani,41.283333,16.416667,méditerranée occidentale,6
Northam,51.033333,-4.216667,Ponant,1
Tortose,40.81125,0.521135,méditerranée occidentale,82
King's Lynn,52.75,0.383333,Ponant,10
Dian,43.9,8.083333,méditerranée occidentale,24
Katákolo,37.65,21.333333,empire ottoman,1
Navarin / Pylos,36.915039,21.695881,empire ottoman,11
Yarmouth,50.7,-1.5,Ponant,17
Golfe d'Arta / Golfe Ambracique,39,21,empire ottoman,4
Calella,41.616667,2.666667,méditerranée occidentale,8
Lorient,47.75,-3.366667,Ponant,28
Riga,56.95,24.1,Ponant,4
Cambrils,41.066617, 1.060329,méditerranée occidentale,3
Talamone,42.55,11.133333,méditerranée occidentale,3
Gallipoli,40.055556,17.976389,méditerranée occidentale,11
Norrköping,58.6,16.183333,Ponant,8
Ibiza,38.908173,1.432314,méditerranée occidentale,3
Alghero,40.558889,8.318056,méditerranée occidentale,11
Modon / Méthoni,36.818492,21.705287,empire ottoman,6
Calvi,42.566667,8.75,méditerranée occidentale,26
Pietranegra,38.396,15.863354,méditerranée occidentale,3
Les Trois-Iles,49.166667,-58.25,Ponant,2
Côtes de Bretagne,47.681292,-3.813171,Ponant,1
Benghazi,32.116667,20.066667,empire ottoman,1
Tripoli de Barbarie,32.8925,13.18,empire ottoman,9
Taormine,37.85,15.283333,méditerranée occidentale,2
Torre Muzza,38.171548,13.163499,méditerranée occidentale,1
Saint-Laurent-de-la-Salanque,42.766667,2.983333,méditerranée occidentale,10
Landscrone,55.866667,12.833333,Ponant,4
Ostende,51.216667,2.916667,Ponant,13
Tossa,41.716736, 2.933404,méditerranée occidentale,24
Gandie,38.969439,-0.185065,méditerranée occidentale,2
Enos / Enez,40.724722,26.0825,empire ottoman,30
Arzew,35.851667,-0.321389,empire ottoman,9
Bizerte,37.274444,9.873889,empire ottoman,13
Beyrouth,33.871944,35.509722,empire ottoman,1
Porto Cesareo,40.25,17.9,méditerranée occidentale,1
Le Brusc,43.066667,5.8,méditerranée occidentale,5
Ipsara,38.533333,25.566667,empire ottoman,1
Artá,39.7,3.35,méditerranée occidentale,3
Arles,43.678359, 4.628813,méditerranée occidentale,541
Bandol,43.133333,5.75,méditerranée occidentale,227
