year,state,tonnage_french,share_of_french
1749,France,31220,0.7575831108954137
1749,Provinces-Unies,0,0.0
1749,Espagne,14180,0.6179995641752015
1749,Péninsule italienne,4375,0.5634256278171281
1749,Grande-Bretagne et colonies (Terre-Neuve),0,0.0
1749,Empire ottoman,560,0.7887323943661971
1749,autre,300,0.3333333333333333
1769,Espagne,16065,0.6227951153324288
1769,Péninsule italienne,4720,0.5136017410228509
1769,France,39970.0,0.8731840524303659
1769,Empire ottoman,1000,1.0
1769,autre,1715,0.9195710455764075
1787,Péninsule italienne,4765,0.3260348956551488
1787,autre,1350,0.6474820143884892
1787,Espagne,11240,0.49363197189284147
1787,France,48685.0,0.8460335389695022
1787,Empire ottoman,275,0.4782608695652174
1789,Péninsule italienne,3745,0.34389348025711663
1789,France,49455.0,0.8357414448669201
1789,autre,1550,0.2873030583873957
1789,Espagne,10885,0.49264539488572073
1789,Empire ottoman,1375,1.0
