pavillon,1749,1759,1769,1779,1789,1799
,42.0,28.049892825420997,34.87142218246869,34.03987179487179,39.04331213668243,32.12469396344397
britannique,197.97476585707497,31.009679479900065,49.48893788930655,30.571428571428573,55.19147128055121,
brémois,,22.577981651376145,,,,
carrarais,,,28.57630008525149,24.62931547619048,27.584502355825315,
danois,53.77813152517746,38.61881131985233,31.08885419839578,38.149233966889845,46.32986865123963,39.31427713691979
espagnol,49.28276681307271,41.68560176315414,20.01383910201884,30.730139576541223,34.08710172505378,21.489974420956997
français,35.35039822130777,37.659501157395695,38.32201631705702,33.675408835678056,37.69074719161832,34.31800067632455
génois,38.415153623907095,51.21106383694979,32.44242333692786,34.46648315337097,31.978235101643328,26.022780548265835
hollandais,157.91082742373192,31.070573332185315,40.506370499512045,42.610514964085134,42.942283608361684,
maltais,36.31560821049731,33.69994792108763,39.89444444444444,24.83021668907745,40.4691122327067,
monégasque,26.248609736496736,31.84128405264769,17.82276360003633,32.357870370370364,28.8254202177971,
napolitain,28.463504258057924,55.18250811208612,38.13409271441738,30.948914206046222,38.02507688437872,25.994997284954852
ottoman,,,,,16.79172510518934,27.85609756097561
ragusois,13.97872340425532,34.019223590892125,18.226666666666667,31.249350469802703,26.891506558366277,24.993589743589745
romain,37.65829783500425,76.69637583316155,12.727954971857411,33.21759259259259,31.923549370608196,
russe,,,,,26.957836385526917,27.23076923076923
savoyard,57.196825396825396,64.76217168756864,84.05542047951515,86.33982731673046,84.47078510314884,42.34285714285714
suédois,34.22559822455421,35.00990929705215,37.273352861256214,37.26829103422478,38.25818110726133,47.91300549142605
toscan,27.46643026004728,30.169508015727974,27.744588744588743,29.578377504848092,41.391269841269846,
vénitien,16.43937890376018,,31.791330646672364,28.141559549275463,26.36435899829341,
étasunien,,,,,58.23880597014925,
