pavillon,1749,1759,1769,1779,1789,1799
,1.0,3.0,1.75,1.25,2.193548387096774,1.1666666666666667
britannique,1.925233644859813,2.5,1.8412698412698412,1.0,2.017543859649123,
brémois,,4.0,,,,
carrarais,,,1.0,1.1666666666666667,1.0476190476190477,
danois,2.0555555555555554,1.7,1.5,1.6956521739130435,1.7087378640776698,1.3529411764705883
espagnol,1.3396226415094339,1.6857142857142857,1.0945945945945945,1.3272727272727274,1.2848837209302326,1.0828402366863905
français,1.7381938690969345,1.4350453172205437,1.6758842443729904,1.4099264705882353,1.546399594320487,1.0744416873449132
génois,1.2967032967032968,1.5420289855072464,1.119047619047619,1.206896551724138,1.1061728395061727,1.0753911806543386
hollandais,1.6938775510204083,1.8860759493670887,1.7402597402597402,1.851063829787234,1.763157894736842,
maltais,2.0,2.2,1.1666666666666667,1.5,1.0476190476190477,
monégasque,1.131578947368421,1.1818181818181819,1.0,1.0,1.0232558139534884,
napolitain,1.7083333333333333,1.8266666666666667,1.2622950819672132,1.469387755102041,1.4210526315789473,2.1153846153846154
ottoman,,,,,2.0,1.5
ragusois,2.0,2.5,2.5,2.076923076923077,1.7058823529411764,3.0
romain,1.3870967741935485,1.5333333333333334,1.0,1.1111111111111112,1.0588235294117647,
russe,,,,,3.8333333333333335,3.0
savoyard,1.0,1.3669064748201438,1.0275229357798166,1.026143790849673,1.0332225913621262,1.0
suédois,1.6363636363636365,1.4285714285714286,1.8,1.84,1.9019607843137254,2.3333333333333335
toscan,2.0,2.0,1.0,1.8181818181818181,1.2,
vénitien,2.142857142857143,,1.875,1.878787878787879,1.736842105263158,
étasunien,,,,,2.0,
