partner,latitude,longitude,toflit_value,navigo_mean_tonnage,navigo_nb_ships,scope,navigo_nb_ships_pointcalls
Gênes,8.7260246,44.8,7478607.33071344,22.69097222222222,288,world,
Duché de Massa et Carrare,10.0272806,44,0,32.64705882352941,17,world,
Angleterre,-1.835,52.829,2187052.80401517,158.88888888888889,9,world,
Afrique,-15.414,13.454,419308.0,0,0,world,
Venise,12.2225255,45.4046658,405739.75908807997,87.5,2,world,
"Milanais, Toscane et Lucques",9.0953317,46,6671111.456386602,75.92307692307692,65,world,
Levant et Barbarie,28.597,35.147,52741732.21563774,131.02272727272728,176,world,
Portugal,-8.102,38.139,304088.001869,159.44444444444446,9,world,
Malte,14.2135409,35.9426153,0,90.0,5,world,
États-Unis d'Amérique,-98.569,43.87,1197882.6939885,150.0,2,world,
Nord,18.479,56.475,4461602.916140361,188.91304347826087,23,world,
République de Raguse,18.073,42.645,0,150.0,1,world,
Flandre et autres états de l'Empereur,4.2764,50.8242,1106624.8602758902,165.71428571428572,14,world,
Allemagne,10.4478,51.6,2052.0,0,0,world,
Inconnu,-16.414,43.87,24915187.0,28.928571428571427,14,world,
Maroc,-8.1521827,31.6703932,0,76.0,5,world,
États ecclésiastiques,12.3711899,41.9102088,3373112.912473769,107.46575342465754,73,world,
Hollande,4.9878,52.2984,2942041.4251656006,240.0,5,world,
Naples,16,40.8,28949988.944752116,92.24489795918367,147,world,
Royaume de Piemont et Sardaigne,9,38.5,9865451.315200962,41.98863636363637,88,world,
Amériques,-98.569,37.545,46283041.0,218.88888888888889,27,world,
Espagne,-3.867,40.33,18703965.105788324,60.32,250,world,
Asie,76.64,-7.8,1660684.0,0,0,world,
Montpellier,3.8329698,43.6100709,10218661.455983007,0,0,france,0
Grandcamp,-1.033333,49.383333,0,6.375,19,france,8
Landerneau,-4.25,48.45,0,38.91304347826087,102,france,69
La Roche-Bernard,-2.3,47.516667,0,39.5,20,france,8
Saint-Gilles-sur-Vie,-1.945124,46.697882,0,31.685393258426966,145,france,89
Saint-Pierre-et-Miquelon,-56.333333,46.833333,0,70.34782608695652,160,france,92
Ajaccio,8.736863,41.918584,0,4.019230769230769,113,france,52
Bayonne,-1.5022883,43.4844312,27236435.20782915,57.06406685236769,675,france,359
Le Canet,3.007307,42.705814,0,31.0,9,france,5
Mesquer,-2.458978,47.399761,0,36.0,24,france,9
Rouen,1.0499721,49.4412841,150323252.0,63.02789256198347,1945,france,968
Genêts,-1.475315,48.683934,0,12.5,3,france,2
Le Conquet,-4.766667,48.366667,0,24.541666666666668,38,france,24
Caen,-0.4134422,49.1846898,1079239.8172033997,0,0,france,0
Gravelines,2.116667,50.983333,0,36.0,37,france,17
Portsall,-4.7,48.55,0,5.5,22,france,12
Aber-Ildut,-4.75,48.466667,0,34.125,39,france,16
Saint-Laurent-de-la-Salanque,2.983333,42.766667,0,4.896551724137931,51,france,29
Valenciennes,3.4729976,50.3620936,10350989.0,0,0,france,0
Boulogne-sur-Mer,1.616667,50.716667,0,11.45719661335842,1872,france,1063
Étaples,1.65,50.516667,0,47.36842105263158,25,france,19
Saint-Malo,-2.0890353,48.6463833,10363013.126826983,50.83796296296296,883,france,432
