partner,latitude,longitude,toflit_value,navigo_mean_tonnage,navigo_nb_ships,scope,navigo_nb_ships_pointcalls
Bordeaux,-0.6684127,44.8638098,250634332.2361999,110.0521064301552,2225,france,902
La Flotte-en-Ré,-1.328716,46.188459,0,25.35593220338983,194,france,118
Port-Bail,-1.69982,49.335336,0,10.46875,75,france,128
La Hougue,-1.266667,49.6,0,14.120805369127517,333,france,149
Flandre,2.260707,50.016986,82110099.0,0,0,france,0
Les Sables-d'Olonne,-1.783333,46.5,0,36.47560975609756,282,france,164
Soisson,3.302947,49.3765829,63867.0,0,0,france,0
Soubise,-1,45.933333,0,37.857142857142854,37,france,21
Touques,0.1,49.333333,0,45.47540983606557,228,france,122
Châlons,4.338868,48.9656081,10480557.666354734,0,0,france,0
Brest,-4.483333,48.4,0,79.70700636942675,530,france,314
Lorient,-3.4214692,47.7494125,7925424.063117171,52.40171858216971,906,france,931
Nantes,-1.642735,47.2383198,99155476.17309566,111.93146417445483,1412,france,642
Cayenne,-52.333333,4.933333,0,5.7894736842105265,24,france,19
Champagné-les-Marais,-1.133333,46.366667,0,39.0,3,france,1
Le Passage,-4.383333,48.383333,0,7.714285714285714,51,france,21
Besançon,5.9298594,47.2602913,19867619.263392746,0,0,france,0
La Teste,-1.15,44.633333,0,26.8,70,france,10
Omonville,-1.85,49.7,0,2.25,33,france,16
Bourg,-0.566667,45.05,0,36.666666666666664,0,france,3
Fécamp,0.366667,49.75,0,41.64646464646464,226,france,99
Saint-Quentin,3.2377845,49.847577,11615.0,0,0,france,0
Le Havre,0.133333,49.5,0,96.35123966942149,2248,france,1210
Cherbourg,-1.615534,49.640322,0,54.514360313315926,745,france,383
Meschers,-0.95,45.566667,0,25.0,0,france,1
La Tranche-sur-Mer,-1.433333,46.333333,0,13.25,38,france,24
Saint-Tropez,6.633333,43.266667,0,30.57703081232493,535,france,357
Auch,0.484152,43.6626547,2369490.40109293,0,0,france,0
Calvi,8.75,42.566667,0,15.0,4,france,2
Noirmoutier,-2.25,47,0,46.295336787564764,272,france,193
Bourgneuf,-1.952934,47.045002,0,43.06060606060606,45,france,33
Le Croisic,-2.516667,47.3,0,75.85276073619632,250,france,163
La Tremblade,-1.133333,45.766667,0,88.9322033898305,120,france,59
Penpoul,-3.966667,48.683333,0,23.0,20,france,14
Saint-Nazaire,-2.2,47.283333,0,50.375,13,france,8
Saint-Valery-en-Caux,0.733333,49.866667,0,42.1,180,france,100
Narbonne,2.8688814,43.1494672,1496874.1524529597,0,0,france,0
La Rochelle,-1.2176732,46.1621033,23933450.373430237,47.07881773399015,1224,france,609
Amiens,2.2022809,49.8987918,17380138.10063795,0,0,france,0
Collioure,3.082595,42.524957,0,49.091503267973856,262,france,153
Baie d'Authie,1.583333,50.366667,0,40.0,0,france,1
Isigny,-1.1,49.316667,0,27.75,203,france,108
Langres,5.2951516,47.8597242,1283994.241844011,0,0,france,0
Caudebec,0.725362,49.524483,0,66.33333333333333,26,france,6
La Perrotine,-1.243436,45.964614,0,17.782608695652176,76,france,46
Charleville,4.6480131,49.2,8979295.42119739,0,0,france,0
îles Chausey,-1.833333,48.883333,0,38.666666666666664,6,france,3
Saint-Jean-de-Luz,-1.654143,43.388103,0,28.0625,33,france,16
Barfleur,-1.25,49.666667,0,19.647058823529413,93,france,51
Dunkerque,2.366667,51.05,0,29.753309265944644,2231,france,831
Saint-Denis d'Oléron,-1.383333,46.033333,0,19.02127659574468,79,france,47
Socoa,-1.683333,43.383333,0,134.4375,0,france,16
Roscoff,-3.983333,48.733333,0,23.926470588235293,242,france,136
Blaye,-0.666667,45.133333,0,37.53488372093023,0,france,43
Dieppe,1.083333,49.933333,0,57.05246913580247,756,france,324
Le Tréport,1.366667,50.066667,0,34.91304347826087,57,france,23
Beauvoir-sur-Mer,-2.05,46.916667,0,29.228070175438596,122,france,57
Toulon,5.8922396,43.1364193,5522175.132875492,0,0,france,0
Saint-Martin-de-Ré,-1.366667,46.2,0,36.31772575250836,461,france,299
Pont-Audemer,0.516667,49.35,0,20.355555555555554,89,france,45
Courtils,-1.433333,48.633333,0,30.09090909090909,19,france,11
Tonnay-Charente,-0.9,45.95,0,43.85944700460829,711,france,434
Talmont,-1.618967,46.466277,0,14.181818181818182,21,france,11
Quillebeuf,0.516667,49.466667,0,48.88135593220339,306,france,118
Saint-Valery-sur-Somme,1.633333,50.183333,0,63.761538461538464,282,france,130
Mortagne,-0.783333,45.483333,0,33.857142857142854,13,france,7
Marseille,5.2158406,43.280477,213669273.7414957,66.39652677279305,4681,france,2764
Bastia,9.45,42.702778,0,1.4086956521739131,268,france,115
Marennes,-1.116667,45.816667,0,62.765370138017566,1172,france,797
Honfleur,0.231886,49.420164,0,63.713157894736845,737,france,380
Granville,-1.597853,48.838204,0,42.48184818481848,572,france,303
Chaillevette,-1.05,45.733333,0,31.875,0,france,24
Rochefort,-0.97043,45.943666,0,65.41901408450704,441,france,284
Diélette,-1.85,49.55,0,3.2916666666666665,103,france,48
Le Château-d'Oléron,-1.2,45.9,0,9.963636363636363,92,france,55
Moricq,-1.374028,46.396209,0,28.41176470588235,96,france,68
Abbeville,1.833333,50.1,0,54.6,60,france,10
île de Bouin,-1.998682,46.975134,0,28.530973451327434,192,france,113
Royan,-1.033333,45.633333,0,20.8,21,france,15
Lyon,4.7527295,45.7580409,7725437.628687239,0,0,france,0
Saint-Michel-en-l'Herm,-1.25,46.35,0,9.05,44,france,20
Ars-en-Ré,-1.516667,46.216667,0,72.15471698113207,381,france,265
Calais,1.833333,50.95,0,27.506211180124225,1117,france,644
Harfleur,0.199013,49.509294,0,19.6046511627907,131,france,43
Grenoble,5.6743405,45.1842864,33979992.02184212,0,0,france,0
Argenton,-4.75,48.516667,0,46.666666666666664,6,france,3
Le Pouliguen,-2.433333,47.266667,0,46.04,86,france,50
Ribérou,-0.935826,45.6755,0,14.926605504587156,480,france,327
Marans,-0.995682,46.312468,0,22.75925925925926,570,france,378
Pornic,-2.1,47.116667,0,10.25,19,france,12
Le Crotoy,1.616667,50.216667,0,14.285714285714286,0,france,7
