direction,year,indice
Bordeaux,1792,
Bordeaux,1726,0.8144314146438353
Bordeaux,1727,
Bordeaux,1728,0.7854889774871406
Bordeaux,1729,0.7857600128352541
Bordeaux,1730,0.7923513310758137
Bordeaux,1731,0.5930869784234306
Bordeaux,1732,0.7940673983147473
Bordeaux,1733,0.7168765582752296
Bordeaux,1734,0.769190143813859
Bordeaux,1735,0.7012044612781292
Bordeaux,1736,0.6003032279379715
Bordeaux,1737,0.6761769309043401
Bordeaux,1738,0.5395089603122858
Bordeaux,1739,0.5647681016795782
Bordeaux,1740,0.5292935007523314
Bordeaux,1741,
Bordeaux,1742,0.6175286648308667
Bordeaux,1743,0.5052531318704558
Bordeaux,1744,0.6180322469773186
Bordeaux,1745,0.6615627783651655
Bordeaux,1746,0.6231384364738993
Bordeaux,1747,0.7515835412844295
Bordeaux,1748,0.6922932500884283
Bordeaux,1749,0.6585995656125486
Bordeaux,1750,0.753137695180164
Bordeaux,1751,0.7102496270494356
Bordeaux,1752,0.730151278572777
Bordeaux,1753,0.7407525794302465
Bordeaux,1754,0.749231140914302
Bordeaux,1755,0.6861041000103991
Bordeaux,1756,0.7463841571410765
Bordeaux,1757,0.6459970069894968
Bordeaux,1758,0.6315467808729472
Bordeaux,1759,0.6661936503362224
Bordeaux,1760,0.8951594851569119
Bordeaux,1761,0.8156462295753742
Bordeaux,1762,0.5524597474992455
Bordeaux,1763,0.7034463350260209
Bordeaux,1764,0.704725396712015
Bordeaux,1765,0.767822034776307
Bordeaux,1766,0.9014622864499343
Bordeaux,1767,0.8538825936195752
Bordeaux,1768,0.8461897300225587
Bordeaux,1769,0.7099953927875033
Bordeaux,1770,0.7514031626510023
Bordeaux,1771,
Bordeaux,1772,0.6239315264893307
Bordeaux,1773,0.6610092058383495
Bordeaux,1774,0.8058948423000042
Bordeaux,1775,0.8674929633744678
Bordeaux,1776,0.8426294000599784
Bordeaux,1777,0.8626612463201105
Bordeaux,1778,0.7733360390954225
Bordeaux,1779,
Bordeaux,1780,
Bordeaux,1718,0.5996486111767946
Bordeaux,1719,
Bordeaux,1720,0.7299355156727845
Bordeaux,1721,0.8181221626509331
Bordeaux,1723,0.8330312168868541
Bordeaux,1724,0.8832963901074085
Bordeaux,1725,0.8775862470284724
Bordeaux,1787,
Bordeaux,1788,
Bordeaux,1722,
Bordeaux,1714,
Bordeaux,1782,
Bordeaux,1783,
Bordeaux,1784,
Bordeaux,1785,
Bordeaux,1786,
Bordeaux,1789,0.5442785386583001
Bordeaux,1790,
Bordeaux,1797,
Bordeaux,1798,
Bordeaux,1799,
Bordeaux,1800,
Bordeaux,1801,
Bordeaux,1802,
Bordeaux,1803,
Bordeaux,1805,
Bordeaux,1806,
Bordeaux,1807,
Bordeaux,1808,
Bordeaux,1809,
Bordeaux,1810,
Bordeaux,1811,
Bordeaux,1812,
Bordeaux,1813,
Bordeaux,1814,
Bordeaux,1815,
Bordeaux,1816,
Bordeaux,1817,
Bordeaux,1818,
Bordeaux,1819,
Bordeaux,1820,
Bordeaux,1821,
Bordeaux,1716,
Bordeaux,1717,
Bordeaux,1781,
Bordeaux,1822,
Bordeaux,1823,
Bordeaux,1804,
Marseille,1792,
Marseille,1726,0.39564817038472994
Marseille,1727,0.46010408794327445
Marseille,1728,0.506182819757738
Marseille,1729,0.34316719376320476
Marseille,1730,0.3243440803734354
Marseille,1731,0.3410962848779146
Marseille,1732,0.37080165114979885
Marseille,1733,0.33225379078164513
Marseille,1734,
Marseille,1735,0.3687178772118285
Marseille,1736,0.3538171546077591
Marseille,1737,0.35678872095581465
Marseille,1738,0.3564895168867907
Marseille,1739,0.30600903078528324
Marseille,1740,0.3385681446593239
Marseille,1741,0.3263450247298536
Marseille,1742,
Marseille,1743,0.3013814720851166
Marseille,1744,0.2869902813538875
Marseille,1745,0.37459789006264715
Marseille,1746,0.34818119045577717
Marseille,1747,0.39603225977644574
Marseille,1748,
Marseille,1749,0.315485825737497
Marseille,1750,0.31568218141141274
Marseille,1751,0.3063908158161177
Marseille,1752,0.3524617932603657
Marseille,1753,
Marseille,1754,
Marseille,1755,0.2920383871904909
Marseille,1756,0.308848729719114
Marseille,1757,
Marseille,1758,
Marseille,1759,0.5018770583068268
Marseille,1760,0.4351919008152479
Marseille,1761,0.3719375455455736
Marseille,1762,0.4034355516943249
Marseille,1763,0.3943642129686193
Marseille,1764,0.3196173363813447
Marseille,1765,0.30507679864391757
Marseille,1766,0.3073937486891002
Marseille,1767,0.3138112524408444
Marseille,1768,0.3132317909148554
Marseille,1769,0.29264209126033125
Marseille,1770,0.2854760487129506
Marseille,1771,
Marseille,1772,0.29261917175035945
Marseille,1773,0.29537556461033615
Marseille,1774,0.27940723629873293
Marseille,1775,0.29050560318423
Marseille,1776,0.273700693919363
Marseille,1777,0.2664356990726602
Marseille,1778,0.27908619933422746
Marseille,1779,0.26893118252128334
Marseille,1780,0.2816190222956349
Marseille,1718,
Marseille,1719,
Marseille,1720,
Marseille,1721,
Marseille,1723,
Marseille,1724,
Marseille,1725,0.459634523751728
Marseille,1787,
Marseille,1788,
Marseille,1722,
Marseille,1714,
Marseille,1782,
Marseille,1783,
Marseille,1784,
Marseille,1785,
Marseille,1786,
Marseille,1789,0.2855084074352733
Marseille,1790,
Marseille,1797,
Marseille,1798,
Marseille,1799,
Marseille,1800,
Marseille,1801,
Marseille,1802,
Marseille,1803,
Marseille,1805,
Marseille,1806,
Marseille,1807,
Marseille,1808,
Marseille,1809,
Marseille,1810,
Marseille,1811,
Marseille,1812,
Marseille,1813,
Marseille,1814,
Marseille,1815,
Marseille,1816,
Marseille,1817,
Marseille,1818,
Marseille,1819,
Marseille,1820,
Marseille,1821,
Marseille,1716,
Marseille,1717,
Marseille,1781,
Marseille,1822,
Marseille,1823,
Marseille,1804,
Rouen,1792,
Rouen,1726,
Rouen,1727,
Rouen,1728,0.5769603630851854
Rouen,1729,
Rouen,1730,0.45951027783384524
Rouen,1731,0.5458909012995788
Rouen,1732,0.5335550336084725
Rouen,1733,0.5114121103144731
Rouen,1734,
Rouen,1735,
Rouen,1736,
Rouen,1737,
Rouen,1738,0.35722913410401325
Rouen,1739,
Rouen,1740,
Rouen,1741,
Rouen,1742,
Rouen,1743,
Rouen,1744,
Rouen,1745,
Rouen,1746,
Rouen,1747,
Rouen,1748,
Rouen,1749,
Rouen,1750,0.35219947043926303
Rouen,1751,
Rouen,1752,
Rouen,1753,
Rouen,1754,
Rouen,1755,0.41310899996218475
Rouen,1756,
Rouen,1757,
Rouen,1758,
Rouen,1759,
Rouen,1760,
Rouen,1761,
Rouen,1762,
Rouen,1763,0.6074606619601925
Rouen,1764,0.43804358738121457
Rouen,1765,
Rouen,1766,0.4898274170845899
Rouen,1767,0.38795423867427103
Rouen,1768,0.45190851008088173
Rouen,1769,0.3671866023864873
Rouen,1770,0.4651960595741416
Rouen,1771,0.35244717730078967
Rouen,1772,0.48757918589119076
Rouen,1773,0.48820715413626997
Rouen,1774,0.4147526232879846
Rouen,1775,0.46312323615199463
Rouen,1776,0.411886876859459
Rouen,1777,
Rouen,1778,
Rouen,1779,
Rouen,1780,
Rouen,1718,
Rouen,1719,
Rouen,1720,
Rouen,1721,
Rouen,1723,
Rouen,1724,
Rouen,1725,
Rouen,1787,
Rouen,1788,
Rouen,1722,
Rouen,1714,
Rouen,1782,
Rouen,1783,
Rouen,1784,
Rouen,1785,
Rouen,1786,
Rouen,1789,0.4022683746728616
Rouen,1790,
Rouen,1797,
Rouen,1798,
Rouen,1799,
Rouen,1800,
Rouen,1801,
Rouen,1802,
Rouen,1803,
Rouen,1805,
Rouen,1806,
Rouen,1807,
Rouen,1808,
Rouen,1809,
Rouen,1810,
Rouen,1811,
Rouen,1812,
Rouen,1813,
Rouen,1814,
Rouen,1815,
Rouen,1816,
Rouen,1817,
Rouen,1818,
Rouen,1819,
Rouen,1820,
Rouen,1821,
Rouen,1716,
Rouen,1717,
Rouen,1781,
Rouen,1822,
Rouen,1823,
Rouen,1804,
Nantes,1792,
Nantes,1726,
Nantes,1727,
Nantes,1728,0.38527022553154583
Nantes,1729,
Nantes,1730,
Nantes,1731,0.32882914107212186
Nantes,1732,0.3669406625032637
Nantes,1733,
Nantes,1734,0.37721527130363336
Nantes,1735,0.38689891926779857
Nantes,1736,0.364579783058701
Nantes,1737,0.38965147923572496
Nantes,1738,
Nantes,1739,0.2989096654327919
Nantes,1740,0.3073209026027492
Nantes,1741,0.32020293742652656
Nantes,1742,0.3249415815815889
Nantes,1743,0.3331634891010495
Nantes,1744,0.41460009164304523
Nantes,1745,0.6201378464569948
Nantes,1746,0.40067944085174223
Nantes,1747,
Nantes,1748,
Nantes,1749,0.40610724000337095
Nantes,1750,0.40524436175389567
Nantes,1751,0.4021484700333885
Nantes,1752,0.38584900857639476
Nantes,1753,0.3737813038483341
Nantes,1754,0.40150957317999725
Nantes,1755,0.4016404074441184
Nantes,1756,0.3485945727044565
Nantes,1757,0.3307904063863445
Nantes,1758,0.5291880896056976
Nantes,1759,0.37712633379884036
Nantes,1760,0.3701755640104744
Nantes,1761,0.347473313854326
Nantes,1762,0.3821505103832142
Nantes,1763,0.3381714900071794
Nantes,1764,0.38463934934710015
Nantes,1765,0.3883005929449632
Nantes,1766,0.628208206690185
Nantes,1767,0.4131637090280822
Nantes,1768,0.3610022962870198
Nantes,1769,0.3226013903789408
Nantes,1770,0.46044245181300936
Nantes,1771,0.4336052915006073
Nantes,1772,0.38770626287144083
Nantes,1773,
Nantes,1774,0.5096572856339856
Nantes,1775,
Nantes,1776,0.4051702540622745
Nantes,1777,
Nantes,1778,0.3025179455936036
Nantes,1779,0.3099457130419542
Nantes,1780,
Nantes,1718,
Nantes,1719,
Nantes,1720,
Nantes,1721,
Nantes,1723,
Nantes,1724,
Nantes,1725,
Nantes,1787,
Nantes,1788,
Nantes,1722,
Nantes,1714,
Nantes,1782,
Nantes,1783,
Nantes,1784,
Nantes,1785,
Nantes,1786,
Nantes,1789,0.4388178322588328
Nantes,1790,
Nantes,1797,
Nantes,1798,
Nantes,1799,
Nantes,1800,
Nantes,1801,
Nantes,1802,
Nantes,1803,
Nantes,1805,
Nantes,1806,
Nantes,1807,
Nantes,1808,
Nantes,1809,
Nantes,1810,
Nantes,1811,
Nantes,1812,
Nantes,1813,
Nantes,1814,
Nantes,1815,
Nantes,1816,
Nantes,1817,
Nantes,1818,
Nantes,1819,
Nantes,1820,
Nantes,1821,
Nantes,1716,
Nantes,1717,
Nantes,1781,
Nantes,1822,
Nantes,1823,
