flag,tonnage
Neapolitan,5505
Genoese,3675
Ragusan,1200
Spanish,4355
Roman,15
Savoyard,2875
Dutch,3880
Jerusalemite,560
unknown,14655
Monegasque,30
Danish,2545
British,2000
Carrara,145
Venitian,160
Tuscan,5
