year,value,kind,reg,slope
1740,384396676.0,total,327024841.9233249,1.7
1740,208817046.0,exports,190818152.34588882,1.3
1740,175579630.0,imports,137902102.56928432,2.2
1741,407540519.0,total,332779799.05696535,1.7
1741,218253022.0,exports,193395600.02174792,1.3
1741,189287497.0,imports,140913610.98081738,2.2
1742,387544851.0,total,338636031.4680902,1.7
1742,211685144.0,exports,196007862.18690088,1.3
1742,175859707.0,imports,143990884.76317233,2.2
1743,412443944.0,total,344595321.3909699,1.7
1743,222226439.0,exports,198655409.0928583,1.3
1743,190217505.0,imports,147135360.10161301,2.2
1744,308922825.0,total,350659482.4234919,1.7
1744,166992644.0,exports,201338717.34298274,1.3
1744,141930181.0,imports,150348504.544841,2.2
1745,327142936.0,total,356830360.07909495,1.7
1745,184123776.0,exports,204058269.97828755,1.3
1745,143019160.0,imports,153631817.68990755,2.2
1746,298944419.0,total,363109832.34841627,1.7
1746,176794821.0,exports,206814556.5643883,1.3
1746,122149598.0,imports,156986831.88209265,2.2
1747,316804251.0,total,369499810.27082276,1.7
1747,182581256.0,exports,209608073.2796349,1.3
1747,134222995.0,imports,160415112.9300568,2.2
1748,315987428.0,total,376002238.51600015,1.7
1748,179893195.0,exports,212439323.00443435,1.3
1748,136094233.0,imports,163918260.83661735,2.2
1749,468452512.0,total,382619095.97577626,1.7
1749,253444551.0,exports,215308815.41177344,1.3
1749,215007961.0,imports,167497910.54547632,2.2
1750,463536371.0,total,389352396.3663599,1.7
1750,251200328.0,exports,218217067.0589706,1.3
1750,212336043.0,imports,171155732.7042669,2.2
1751,469970354.0,total,396204188.84117734,1.7
1751,257978434.0,exports,221164601.48066735,1.3
1751,211991920.0,imports,174893434.44425333,2.2
1752,549413978.0,total,403176558.61449385,1.7
1752,295042717.0,exports,224151949.2830688,1.3
1752,254371261.0,imports,178712760.17705697,2.2
1753,534618816.0,total,410271627.5960091,1.7
1753,291953030.0,exports,227179648.2394641,1.3
1753,242665786.0,imports,182615492.408793,2.2
1754,545930841.0,total,417491555.0366209,1.7
1754,298063065.0,exports,230248243.38703716,1.3
1754,247867776.0,imports,186603452.57197353,2.2
1755,516686816.0,total,424838538.1855524,1.7
1755,263394337.0,exports,233358287.12497768,1.3
1755,253292479.0,imports,190678501.87558562,2.2
1756,414468810.0,total,432314812.9590438,1.7
1756,240806046.0,exports,236510339.31392494,1.3
1756,173662764.0,imports,194842542.173725,2.2
1757,336114567.33668804,total,439922654.62081105,1.7
1757,188988100.0,exports,239704967.3767546,1.3
1757,147126467.336688,imports,199097516.85321298,2.2
1758,292066751.0,total,447664378.4744799,1.7
1758,166318424.0,exports,242942746.40071952,1.3
1758,125748327.0,imports,203445411.7405846,2.2
1759,319997399.0,total,455542340.5682052,1.7
1759,188746632.0,exports,246224259.2409776,1.3
1759,131250767.0,imports,207888256.02888364,2.2
1760,296731490.0,total,463558938.4116894,1.7
1760,178680655.0,exports,249550096.62551835,1.3
1760,118050835.0,imports,212428123.22470948,2.2
1761,312605172.0132,total,471716611.70581996,1.7
1761,178634644.0,exports,252920857.26149872,1.3
1761,133970528.0132,imports,217067132.1159319,2.2
