id,networkLatitude,networkLongitude,latitude,longitude,market,bassin,x,y,label,weightedDegree,size,community
Abbeville,50.095652652194104,0.27514923370268063,50.105564,1.833043,Abbeville,Artois-Picardie,-106.38131713867188,468.1654357910156,,102.91748253988942,102.91748253988942,Rouen
Arras,46.57474321681607,1.3770007767982548,50.291,2.777535,Arras,Artois-Picardie,-24.4355411529541,19.372037887573242,,175.58310157439365,175.58310157439365,
Auzerre,48.34971774155736,3.2574681703783197,47.798203,3.573781,Auzerre,Seine-Normandie,115.41665649414062,245.6195068359375,,85.69681100012478,85.69681100012478,Orléans
BarleDuc,48.098537970016984,2.0737414866589625,48.773605,5.1582379,BarleDuc,Seine-Normandie,27.381746292114258,213.6028289794922,,112.0035253405401,112.0035253405401,Orléans
Bayeux,49.074505597702846,-2.0688596724741526,49.276436,-0.70314002,Bayeux,Seine-Normandie,-280.7075500488281,338.0047302246094,,39.780944492821604,39.780944492821604,Rouen
Beaumont,50.292308955481424,-1.482213618433211,49.141552,2.284601,Beaumont,Seine-Normandie,-237.07810974121094,493.2322692871094,,53.05396261633482,53.05396261633482,Rouen
Bernay,48.93303439684253,2.2601977407694136,49.089329,0.59781098,Bernay,Seine-Normandie,41.248680114746094,319.9720764160156,,79.3337177097927,79.3337177097927,Orléans
Blois,47.829438410882226,2.7686129065756613,47.587952,1.336272,Blois,Loire-Bretagne,79.06001281738281,179.302001953125,,115.40364012640693,115.40364012640693,Orléans
Cany,51.089446813806624,-0.744089808812189,49.787434,0.638336,Cany,Seine-Normandie,-182.18312072753906,594.839599609375,,28.93983851947354,28.93983851947354,Rouen
ChalonssurMarne,48.62953620526404,2.65680348043696,48.95668,4.3630729,ChalonssurMarne,Seine-Normandie,70.74463653564453,281.28662109375,,75.24743924010939,75.24743924010939,Orléans
Charleville,48.69342945249822,1.6982256753937404,49.7719,4.7161002,Charleville,Rhin-Meuse,-0.5457315444946289,289.4307861328125,,71.55165453097847,71.55165453097847,Orléans
Chateaudun,49.03690964534744,3.2969160432724607,48.07037,1.327696,Chateaudun,Loire-Bretagne,118.35043334960938,333.2125549316406,,51.14140319893775,51.14140319893775,Orléans
Chateauroux,47.883855457427195,1.3317638934726088,46.811436,1.686779,Chateauroux,Loire-Bretagne,-27.79985237121582,186.23828125,,103.36544077219871,103.36544077219871,Orléans
ChaumontenCaux,49.41619876776419,-2.256590578847793,49.652905,0.39174199,ChaumontenCaux,Seine-Normandie,-294.6692810058594,381.5587158203125,,64.54590569989935,64.54590569989935,Rouen
ChaumontenVexin,49.53894118451349,-0.026408855825792,49.262161,1.882324,ChaumontenVexin,Seine-Normandie,-128.80848693847656,397.2041015625,,119.79051133217938,119.79051133217938,Rouen
Eu,50.230439516342905,-1.917877405550734,50.04887,1.419597,Eu,Seine-Normandie,-269.4788513183594,485.3460693359375,,47.920713271724296,47.920713271724296,Rouen
Gonesse,49.20087473218939,-1.3230913858930382,48.984333,2.4605889,Gonesse,Seine-Normandie,-225.24403381347656,354.1123962402344,,52.66476160216282,52.66476160216282,Rouen
LeHavre,50.37035449425022,-2.382974860244351,49.490002,0.1,LeHavre,Seine-Normandie,-304.068603515625,503.18035888671875,,32.634580387579724,32.634580387579724,Rouen
Lille,50.63900693855963,-2.738087784806178,50.62925,3.057256,Lille,Artois-Picardie,-330.47869873046875,537.4241943359375,,39.45224868536596,39.45224868536596,Rouen
MagnyenVexin,50.827799766974884,-1.607604870803578,49.151726,1.787148,MagnyenVexin,Seine-Normandie,-246.40357971191406,561.4887084960938,,63.7902542424785,63.7902542424785,Rouen
Melun,49.78239215432197,-1.6160772139043056,48.542107,2.6554,Melun,Seine-Normandie,-247.03367614746094,428.2356262207031,,62.6923577735058,62.6923577735058,Rouen
Meulan,50.62051134847265,-2.052585486036663,49.008106,1.916319,Meulan,Seine-Normandie,-279.4972229003906,535.066650390625,,67.73644133437384,67.73644133437384,Rouen
Orléans,47.437876315710795,1.595890995145104,47.9025,1.909,Orléans,Loire-Bretagne,-8.156461715698242,129.39146423339844,Orléans,153.4733397872273,153.4733397872273,Orléans
Paris,49.66053295395323,1.1631431792891749,48.853352,2.348285,Paris,Seine-Normandie,-40.34033966064453,412.70281982421875,,97.09756857767239,97.09756857767239,Rouen
Pontoise,50.68748064993762,-1.1312359211488365,49.050964,2.1006451,Pontoise,Seine-Normandie,-210.97555541992188,543.6029052734375,,67.5475912665168,67.5475912665168,Rouen
Reims,50.45238420319761,-0.738061876417667,49.262798,4.0346999,Reims,Seine-Normandie,-181.7348175048828,513.6362915039062,,52.540468116156454,52.540468116156454,Rouen
Rouen,49.310783816211476,0.7676529559058003,49.443233,1.0999711,Rouen,Seine-Normandie,-69.75333404541016,368.1219787597656,Rouen,91.59523851237907,91.59523851237907,Rouen
RozayenBrie,48.89149880622686,-0.07598336790292759,48.68383,2.9590449,RozayenBrie,Seine-Normandie,-132.49539184570312,314.677734375,,105.13508301872213,105.13508301872213,Rouen
Soissons,49.204010641149154,2.638028256018218,49.376637,3.32342,Soissons,Seine-Normandie,69.34830474853516,354.5121154785156,,67.8588912715156,67.8588912715156,Orléans
Aigueperse,44.84248644351479,8.233068830087115,46.277538,4.434329,Aigueperse,Loire-Bretagne,485.4569396972656,-201.43040466308594,,22.757149558185876,22.757149558185876,Issoire
Billom,45.32216056548124,6.057549456702472,45.723927,3.338973,Billom,Loire-Bretagne,323.66143798828125,-140.2886505126953,,22.640776073160662,22.640776073160662,Issoire
