pavillon,1749,1759,1769,1779,1789,1799
,1.0,4.0,4.0,20.0,31.0,30.0
britannique,214.0,4.0,63.0,1.0,114.0,
brémois,,1.0,,,,
carrarais,,,5.0,6.0,42.0,
danois,18.0,20.0,4.0,46.0,103.0,17.0
espagnol,159.0,140.0,74.0,110.0,516.0,169.0
français,1207.0,662.0,1555.0,1088.0,3944.0,1612.0
génois,182.0,345.0,126.0,261.0,405.0,703.0
hollandais,98.0,79.0,77.0,94.0,76.0,
maltais,7.0,10.0,6.0,8.0,21.0,
monégasque,38.0,33.0,11.0,18.0,43.0,
napolitain,24.0,75.0,61.0,98.0,190.0,52.0
ottoman,,,,,2.0,2.0
ragusois,1.0,4.0,2.0,13.0,51.0,2.0
romain,93.0,30.0,2.0,9.0,34.0,
russe,,,,,12.0,1.0
savoyard,12.0,139.0,109.0,153.0,301.0,2.0
suédois,22.0,14.0,40.0,25.0,51.0,6.0
toscan,3.0,27.0,3.0,11.0,5.0,
vénitien,7.0,,8.0,33.0,19.0,
étasunien,,,,,1.0,
