port,share_of_strangers
Rouen,0.14707355267446204
Nantes,0.2616634929270947
La Rochelle,0.08350746932242575
Marseille,0.30935129627533114
Bordeaux,0.4868977364442108
Marennes,0.15979851224198235
Dunkerque,0.5573914096936826
Le Havre,0.3310994539239973
Lorient,0.2895682775563108
Saint Malo,0.15947060909820612
