year,data_type,value,kind,slope,reg_point,peace_reg_memory,peace_reg,direction_ferme,column_order,avg_loss_mem,avg_loss_no_mem
1758,trade,,total,Marseille +1.1%/an,121120388.22622897,168481512.69769582,135582241.13426584,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1759,trade,71379103.67011715,total,Marseille +1.1%/an,122498839.65183604,171965055.33507904,133668077.30714491,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1760,trade,,total,Marseille +1.1%/an,123892979.00876981,175520624.09041402,131780937.83901428,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1761,trade,79304676.76851721,total,Marseille +1.1%/an,125302984.83882347,179149708.18378964,129920441.19723321,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1762,trade,91016133.9788189,total,Marseille +1.1%/an,126729037.71574524,182853827.62657115,128086211.235678,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1763,trade,169785284.90606418,total,Marseille +1.1%/an,128171320.26836383,186634533.85805428,126277877.11869399,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1764,trade,170896325.58873504,total,Marseille +1.1%/an,129630017.20397691,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1765,trade,160257892.32954246,total,Marseille +1.1%/an,131105315.33200535,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1766,trade,149053946.65444914,total,Marseille +1.1%/an,132597403.58791907,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1767,trade,155819227.45312315,total,Marseille +1.1%/an,134106473.0574304,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1768,trade,164926838.7412307,total,Marseille +1.1%/an,135632717.00096756,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1769,trade,151407884.4146128,total,Marseille +1.1%/an,137176330.8784242,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1770,trade,151567891.1033504,total,Marseille +1.1%/an,138737512.37419125,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1771,trade,,total,Marseille +1.1%/an,140316461.42247352,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1772,trade,175456907.62145907,total,Marseille +1.1%/an,141913380.2328939,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1773,trade,191943367.39045423,total,Marseille +1.1%/an,143528473.3163917,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1774,trade,154534027.9831894,total,Marseille +1.1%/an,145161947.51141036,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1775,trade,152787784.539378,total,Marseille +1.1%/an,146814012.0103885,,,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1776,trade,168894978.15374836,total,Marseille +1.1%/an,148484878.3865498,171884529.249406,164065633.58895093,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1777,trade,151112290.19980615,total,Marseille +1.1%/an,150174760.6209985,173358839.78867877,164496623.03903565,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1778,trade,112736817.52331236,total,Marseille +1.1%/an,151883875.13012278,174845795.9777706,164928744.66959053,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1779,trade,90291903.57251516,total,Marseille +1.1%/an,153612440.7933101,176345506.28260857,165362001.45477745,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1780,trade,95011300.43057716,total,Marseille +1.1%/an,155360678.9809802,177858080.09946787,165796396.3765717,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1781,trade,,total,Marseille +1.1%/an,157128813.58293185,179383627.7629524,166231932.42478207,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1782,trade,,total,Marseille +1.1%/an,158917071.0370178,180922260.55403998,166668612.59707075,Marseille,0,Perte memoire-39.5%,Perte -30.6%
1783,trade,,total,Marseille +1.1%/an,160725680.35814312,182474090.7082067,167106439.8989764,Marseille,0,Perte memoire-39.5%,Perte -30.6%
