annee,nb_ships,pavillon
1749,1194,français
1749,37,napolitain
1749,0,russe
1749,6,vénitien
1749,13,savoyard
1749,0,ragusois
1749,3,toscan
1749,9,maltais
1749,14,danois
1749,193,espagnol
1749,38,monégasque
1749,77,hollandais
1749,0,brémois
1749,17,suédois
1749,2,inconnu
1749,143,britannique
1749,101,romain
1749,204,génois
1749,0,ottoman
1749,0,carrarais
1759,682,français
1759,129,napolitain
1759,0,russe
1759,0,vénitien
1759,152,savoyard
1759,4,ragusois
1759,35,toscan
1759,20,maltais
1759,20,danois
1759,187,espagnol
1759,35,monégasque
1759,72,hollandais
1759,1,brémois
1759,14,suédois
1759,7,inconnu
1759,5,britannique
1759,34,romain
1759,444,génois
1759,0,ottoman
1759,0,carrarais
1769,1548,français
1769,90,napolitain
1769,0,russe
1769,7,vénitien
1769,111,savoyard
1769,2,ragusois
1769,4,toscan
1769,7,maltais
1769,1,danois
1769,82,espagnol
1769,11,monégasque
1769,59,hollandais
1769,0,brémois
1769,35,suédois
1769,4,inconnu
1769,59,britannique
1769,3,romain
1769,143,génois
1769,0,ottoman
1769,4,carrarais
1779,1093,français
1779,176,napolitain
1779,0,russe
1779,31,vénitien
1779,160,savoyard
1779,13,ragusois
1779,13,toscan
1779,10,maltais
1779,43,danois
1779,154,espagnol
1779,18,monégasque
1779,88,hollandais
1779,0,brémois
1779,22,suédois
1779,19,inconnu
1779,2,britannique
1779,10,romain
1779,339,génois
1779,0,ottoman
1779,9,carrarais
1787,2016,français
1787,116,napolitain
1787,8,russe
1787,12,vénitien
1787,166,savoyard
1787,24,ragusois
1787,2,toscan
1787,11,maltais
1787,54,danois
1787,274,espagnol
1787,18,monégasque
1787,29,hollandais
1787,0,brémois
1787,47,suédois
1787,15,inconnu
1787,43,britannique
1787,16,romain
1787,224,génois
1787,1,ottoman
1787,23,carrarais
1789,1885,français
1789,167,napolitain
1789,0,russe
1789,6,vénitien
1789,130,savoyard
1789,29,ragusois
1789,3,toscan
1789,11,maltais
1789,41,danois
1789,256,espagnol
1789,24,monégasque
1789,33,hollandais
1789,0,brémois
1789,1,suédois
1789,10,inconnu
1789,61,britannique
1789,17,romain
1789,216,génois
1789,0,ottoman
1789,18,carrarais
1799,1620,français
1799,54,napolitain
1799,1,russe
1799,0,vénitien
1799,2,savoyard
1799,5,ragusois
1799,1,toscan
1799,0,maltais
1799,17,danois
1799,195,espagnol
1799,0,monégasque
1799,0,hollandais
1799,0,brémois
1799,4,suédois
1799,37,inconnu
1799,0,britannique
1799,0,romain
1799,696,génois
1799,4,ottoman
1799,0,carrarais
