annee,tonnage,pavillon
1749,4310,romain
1749,0,carrarais
1749,4940,suédois
1749,0,ottoman
1749,430,monégasque
1749,3860,danois
1749,101815,français
1749,2900,espagnol
1749,3555,napolitain
1749,1145,maltais
1749,85,inconnu
1749,36160,britannique
1749,7000,génois
1749,0,russe
1749,1800,vénitien
1749,21805,hollandais
1749,0,ragusois
1749,0,brémois
1749,260,savoyard
1749,530,toscan
1759,1365,romain
1759,0,carrarais
1759,3750,suédois
1759,0,ottoman
1759,535,monégasque
1759,4870,danois
1759,36945,français
1759,6895,espagnol
1759,7565,napolitain
1759,2700,maltais
1759,995,inconnu
1759,840,britannique
1759,15895,génois
1759,0,russe
1759,0,vénitien
1759,19910,hollandais
1759,1060,ragusois
1759,130,brémois
1759,3210,savoyard
1759,4145,toscan
1769,160,romain
1769,95,carrarais
1769,7290,suédois
1769,0,ottoman
1769,175,monégasque
1769,300,danois
1769,142145,français
1769,1295,espagnol
1769,5675,napolitain
1769,1100,maltais
1769,900,inconnu
1769,10235,britannique
1769,6025,génois
1769,0,russe
1769,1630,vénitien
1769,15600,hollandais
1769,450,ragusois
1769,0,brémois
1769,1255,savoyard
1769,230,toscan
1779,120,romain
1779,130,carrarais
1779,4080,suédois
1779,0,ottoman
1779,165,monégasque
1779,7600,danois
1779,66425,français
1779,5470,espagnol
1779,11420,napolitain
1779,130,maltais
1779,2650,inconnu
1779,460,britannique
1779,15550,génois
1779,0,russe
1779,5250,vénitien
1779,21645,hollandais
1779,2570,ragusois
1779,0,brémois
1779,2560,savoyard
1779,1015,toscan
1787,545,romain
1787,375,carrarais
1787,8255,suédois
1787,80,ottoman
1787,185,monégasque
1787,10600,danois
1787,184855,français
1787,17835,espagnol
1787,10055,napolitain
1787,505,maltais
1787,2715,inconnu
1787,7420,britannique
1787,9495,génois
1787,1375,russe
1787,2875,vénitien
1787,5570,hollandais
1787,4130,ragusois
1787,0,brémois
1787,5310,savoyard
1787,10,toscan
1789,450,romain
1789,165,carrarais
1789,300,suédois
1789,0,ottoman
1789,195,monégasque
1789,6950,danois
1789,172275,français
1789,14095,espagnol
1789,14900,napolitain
1789,795,maltais
1789,1680,inconnu
1789,10290,britannique
1789,9685,génois
1789,0,russe
1789,1050,vénitien
1789,7745,hollandais
1789,4990,ragusois
1789,0,brémois
1789,3440,savoyard
1789,605,toscan
1799,0,romain
1799,0,carrarais
1799,750,suédois
1799,640,ottoman
1799,0,monégasque
1799,3200,danois
1799,81160,français
1799,4680,espagnol
1799,7075,napolitain
1799,0,maltais
1799,2550,inconnu
1799,0,britannique
1799,36765,génois
1799,160,russe
1799,0,vénitien
1799,0,hollandais
1799,610,ragusois
1799,0,brémois
1799,10,savoyard
1799,0,toscan
