annee,français,génois,hollandais,britannique,napolitain,espagnol,danois,suédois,savoyard,autres
1749,101815,7000,21805,36160,3555,2900,3860,4940,260,8300
1759,36945,15895,19910,840,7565,6895,4870,3750,3210,10930
1769,142145,6025,15600,10235,5675,1295,300,7290,1255,4740
1779,66425,15550,21645,460,11420,5470,7600,4080,2560,12030
1787,184855,9495,5570,7420,10055,17835,10600,8255,5310,12795
1789,172275,9685,7745,10290,14900,14095,6950,300,3440,9930
1799,81160,36765,0,0,7075,4680,3200,750,10,3960
