annee,français,génois,hollandais,britannique,napolitain,espagnol,danois,suédois,savoyard,autres
1749,1194,204,77,143,37,193,14,17,13,159
1759,682,444,72,5,129,187,20,14,152,136
1769,1548,143,59,59,90,82,1,35,111,42
1779,1093,339,88,2,176,154,43,22,160,123
1787,2016,224,29,43,116,274,54,47,166,130
1789,1885,216,33,61,167,256,41,1,130,118
1799,1620,696,0,0,54,195,17,4,2,48
