annee,mileage,serie
1749,1514057,mileage_total
1749,785073,mileage_total_FR
1759,637901,mileage_total
1759,176529,mileage_total_FR
1769,1589028,mileage_total
1769,1177692,mileage_total_FR
1779,780051,mileage_total
1779,270359,mileage_total_FR
1787,2009391,mileage_total
1787,1370017,mileage_total_FR
1789,2018182,mileage_total
1789,1469403,mileage_total_FR
1799,390923,mileage_total
1799,163063,mileage_total_FR
