exportateur,value_en_MltDirMar_hors_Mar,value_en_MltFr_hors_DirMar,value_en_MltMarseille,value_en_MltMarseille_conso,value_en_MltRdM
DirMar_hors_Mar,,,10.075642,,.082115091
Fr_hors_DirMar,,,7.8674831,,
Fr_hors_Mar,,,,25.001455,
Marseille,31.152077,35.112015,,,82.040779
RdM,.95549339,,130.59088,,
