port,serie,partner_variance
La Rochelle,Chanvre imports,0.08789812518639245
La Rochelle,Eaux-de-vie et liqueurs exports,0.012254147609707472
La Rochelle,Indigo exports,0.01733348168513734
La Rochelle,Sucre exports,0.023643612417866833
La Rochelle,Toiles de chanvre et de lin exports,0.011925420836840993
La Rochelle,Mercerie exports,0.010539471789264315
La Rochelle,Sel exports,0.011478338688907748
La Rochelle,Café exports,0.039124172832887424
La Rochelle,Toiles de coton exports,0.08302199998934
La Rochelle,"Cuirs, peaux et pelleterie exports",0.028158139173774605
La Rochelle,"Farine, gruau, biscuits et pâtes exports",0.01903514399514322
Bayonne,Laines non transformées diverses imports,2.7574851704526998e-06
Bayonne,Cacao et chocolat imports,0.024559574727575455
Bayonne,Mercerie imports,0.028359132884263526
Bayonne,Toiles diverses imports,0.03331447062771068
Bayonne,Sucre imports,0.04658214082850184
Bayonne,Ouvrages métalliques imports,0.007453427925525231
Bayonne,"Cuirs, peaux et pelleterie imports",0.015487261590782871
Bayonne,Cire imports,0.02989638142647221
Bayonne,Blé et autres grains comestibles imports,0.05961164774544203
Bayonne,Indigo imports,0.0822216430868421
Bayonne,Toiles de chanvre et de lin exports,0.0005048381788114221
Bayonne,Vins divers exports,0.011587467378104068
Bayonne,Mercerie exports,1.6663409088600854e-05
Bayonne,Étoffes de laine exports,1.9051886477328004e-05
Bayonne,Dorure exports,2.189895728382079e-05
Bayonne,Sucre exports,0.017175747721764112
Bayonne,Étoffes de soie exports,0.00039425640506996135
Bayonne,Cacao et chocolat exports,0.00016569311954721703
Bayonne,Laines non transformées diverses exports,0.008984875519957814
Bayonne,Eaux-de-vie et liqueurs exports,0.008524449407495988
