pavillon,1749,1759,1769,1779,1789,1799
,1.0,3.0,1.75,1.1666666666666667,2.16,1.1071428571428572
britannique,1.5869565217391304,2.5,1.5121951219512195,1.0,1.6428571428571428,
brémois,,4.0,,,,
carrarais,,,1.0,1.1666666666666667,1.0476190476190477,
danois,1.7777777777777777,1.5,1.3333333333333333,1.2592592592592593,1.3018867924528301,1.1538461538461537
espagnol,1.2170542635658914,1.633587786259542,1.0684931506849316,1.2962962962962963,1.1933471933471933,1.0658682634730539
français,1.6565934065934067,1.4153846153846155,1.5559815950920246,1.3700189753320684,1.3947447900936274,1.0667498440424206
génois,1.169811320754717,1.5427728613569323,1.104,1.193798449612403,1.058673469387755,1.051948051948052
hollandais,1.35,1.5454545454545454,1.2592592592592593,1.2162162162162162,1.3125,
maltais,2.2,2.2,1.1666666666666667,1.5,1.05,
monégasque,1.0303030303030303,1.125,1.0,1.0,1.0,
napolitain,1.631578947368421,1.7246376811594204,1.1428571428571428,1.4105263157894736,1.1948051948051948,1.4375
ottoman,,,,,2.0,1.5
ragusois,2.0,3.0,2.5,2.0833333333333335,1.6222222222222222,3.0
romain,1.2531645569620253,1.4137931034482758,1.0,1.1111111111111112,1.0588235294117647,
russe,,,,,3.909090909090909,3.0
savoyard,1.0,1.3623188405797102,1.0275229357798166,1.026143790849673,1.0168918918918919,1.0
suédois,1.3333333333333333,1.1666666666666667,1.411764705882353,1.3571428571428572,1.6206896551724137,1.0
toscan,2.0,2.0,1.0,1.8181818181818181,1.0,
vénitien,2.142857142857143,,1.875,1.6785714285714286,1.5,
