classe_bateau,,britannique,brémois,carrarais,danois,espagnol,français,génois,hollandais,maltais,monégasque,napolitain,ottoman,ragusois,romain,russe,savoyard,suédois,toscan,vénitien,All
All,80.0,180.0,1.0,53.0,115.0,1089.0,9014.0,1966.0,180.0,49.0,136.0,425.0,4.0,63.0,153.0,12.0,710.0,90.0,48.0,59.0,14427.0
Tartane,2.0,3.0,0.0,4.0,0.0,27.0,4121.0,182.0,0.0,4.0,13.0,146.0,0.0,1.0,26.0,0.0,179.0,0.0,12.0,0.0,4720.0
Bateau,8.0,6.0,0.0,42.0,1.0,640.0,1746.0,754.0,0.0,14.0,117.0,8.0,0.0,0.0,77.0,0.0,481.0,0.0,6.0,0.0,3900.0
Pinque,2.0,4.0,0.0,4.0,0.0,213.0,366.0,555.0,0.0,5.0,5.0,132.0,2.0,1.0,37.0,0.0,13.0,0.0,7.0,0.0,1346.0
Allège,1.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0
Brigantin,4.0,49.0,0.0,0.0,34.0,20.0,599.0,112.0,15.0,10.0,0.0,8.0,0.0,11.0,1.0,5.0,7.0,19.0,1.0,9.0,904.0
Vaisseau,9.0,83.0,0.0,0.0,46.0,10.0,199.0,1.0,130.0,7.0,0.0,5.0,0.0,12.0,1.0,3.0,4.0,42.0,7.0,22.0,581.0
Felouque,2.0,0.0,0.0,3.0,0.0,2.0,65.0,318.0,0.0,6.0,1.0,20.0,0.0,0.0,6.0,0.0,21.0,0.0,0.0,0.0,444.0
Barque,2.0,2.0,0.0,0.0,0.0,15.0,248.0,12.0,0.0,1.0,0.0,37.0,0.0,2.0,2.0,1.0,0.0,0.0,6.0,5.0,333.0
Polacre,4.0,0.0,0.0,0.0,0.0,11.0,124.0,11.0,0.0,0.0,0.0,57.0,2.0,15.0,0.0,1.0,1.0,0.0,5.0,3.0,234.0
Senau,3.0,20.0,0.0,0.0,12.0,3.0,105.0,0.0,16.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,25.0,3.0,10.0,212.0
