pavillon,1749,1759,1769,1779,1789,1799
,1.0,4.0,4.0,18.0,25.0,28.0
britannique,92.0,4.0,41.0,1.0,42.0,
brémois,,1.0,,,,
carrarais,,,5.0,6.0,42.0,
danois,9.0,10.0,3.0,27.0,53.0,13.0
espagnol,129.0,131.0,73.0,108.0,481.0,167.0
français,1092.0,650.0,1304.0,1054.0,3311.0,1603.0
génois,159.0,339.0,125.0,258.0,392.0,693.0
hollandais,40.0,44.0,27.0,37.0,32.0,
maltais,5.0,10.0,6.0,8.0,20.0,
monégasque,33.0,32.0,11.0,18.0,42.0,
napolitain,19.0,69.0,56.0,95.0,154.0,32.0
ottoman,,,,,2.0,2.0
ragusois,1.0,2.0,2.0,12.0,45.0,1.0
romain,79.0,29.0,2.0,9.0,34.0,
russe,,,,,11.0,1.0
savoyard,12.0,138.0,109.0,153.0,296.0,2.0
suédois,15.0,12.0,17.0,14.0,29.0,3.0
toscan,3.0,27.0,3.0,11.0,4.0,
vénitien,7.0,,8.0,28.0,16.0,
