pavillon,1749,1759,1769,1779,1789,1799
,42.0,28.049892825420997,34.87142218246869,32.1554131054131,32.123874315691936,33.01570294784581
britannique,40.482952473159074,31.009679479900065,43.80267368942906,30.571428571428573,45.36384888381065,
brémois,,22.577981651376145,,,,
carrarais,,,28.57630008525149,24.62931547619048,27.584502355825315,
danois,22.630349018891348,26.976632089036695,25.60826818289505,36.17267933745704,33.77296681250265,34.324657588788014
espagnol,41.61443435876488,39.13261749259714,20.222031562680957,30.922805300621796,34.88184032562117,21.627437678060307
français,34.235396597047725,37.76012736680563,35.45036588295382,31.09275378317038,34.12226891728997,34.268373343950174
génois,34.057443539667595,49.15973556661068,32.65775219730749,34.57069298969579,32.06904666189673,25.986010016893573
hollandais,38.27219193813276,24.520922314263597,31.629216063142305,40.69167160425716,32.59950150507486,
maltais,33.81243972999035,33.69994792108763,39.89444444444444,24.83021668907745,40.18006784434203,
monégasque,25.034031387507323,32.356413465007215,17.82276360003633,32.357870370370364,28.698814576724242,
napolitain,25.781379241063124,47.24416744629161,31.317677499482045,30.893658261524834,30.410002035829105,26.8587968128685
ottoman,,,,,16.79172510518934,27.85609756097561
ragusois,13.97872340425532,15.933184023889511,18.226666666666667,30.2665064872138,27.6823184016949,24.166666666666668
romain,33.52645465328661,79.22074065780964,12.727954971857411,33.21759259259259,31.923549370608196,
russe,,,,,28.49795109460797,27.23076923076923
savoyard,57.196825396825396,65.11354447318344,84.05542047951515,86.33982731673046,85.09690017706566,42.34285714285714
suédois,33.215144047578605,37.61738095238095,28.808365858388036,38.39172697390577,36.8814989637428,61.083333333333336
toscan,27.46643026004728,30.169508015727974,27.744588744588743,29.578377504848092,42.88194444444444,
vénitien,16.43937890376018,,31.791330646672364,28.377772672770142,25.206056912714324,
